gene,log2FC,p
Gm29260,0.005184329,0.40322468
Gm9915,-0.0020852226,0.42264977
Pantr1,-0.049155712,0.8646384
Pou3f3,-0.1087265,0.6434767
Dalir,0.0,1.0
Mrps9,-0.0007044971,0.9913846
Gpr45,-0.041221462,0.5097523
Tgfbrap1,-0.014791444,0.6924456
Gm28782,0.0,1.0
8430432A02Rik,0.004897025,0.42264977
AI597479,0.06429857,0.22249067
Fhl2,-0.10488795,0.08520574
Nck2,0.019968435,0.7483724
1500015O10Rik,-0.03448257,0.16797973
Gm29155,0.0,1.0
Gm29157,0.0,1.0
Gm29156,0.0,1.0
Uxs1,0.012597501,0.75372416
Tpp2,0.115370154,0.3548635
Mettl21c,-0.006191625,0.42264977
Gm8251,0.0035463136,0.4226497
Tex30,0.060619384,0.42278585
Kdelc1,0.023660775,0.48078722
Bivm,-0.059803057,0.20677826
Ercc5,-0.03505957,0.42002025
Gulp1,0.0024711983,0.4226497
Col3a1,0.0,1.0
Col5a2,0.013301828,0.3080289
Wdr75,0.0054041743,0.9220029
Gm5269,0.0,1.0
Slc40a1,0.020987937,0.59910667
Dnah7b,0.0030323677,0.4226497
Dnah7c,0.006556727,0.19044718
Slc39a10,-0.28139213,0.12650512
Gm28151,-0.008819468,0.84323144
Tmeff2,-0.065555364,0.47264758
Gm28322,-0.0073735937,0.72236115
Gm29325,0.001983923,0.42264977
9330175M20Rik,0.0,1.0
Sdpr,-0.0231907,0.38303107
1700072G22Rik,0.0,1.0
Nabp1,-0.029519953,0.60593736
Myo1b,0.09668121,0.04174154
Stat4,-0.0033404191,0.42264965
Stat1,-0.054981425,0.6224285
Gls,-0.28976548,0.14358738
Nab1,0.006217882,0.9258858
Gm553,0.0,1.0
Tmem194b,-0.0321103,0.32532725
Mfsd6,0.054977447,0.42463523
Inpp1,0.0401019,0.3000412
Hibch,1.585111e-05,0.99958295
1700019D03Rik,0.021538494,0.501086
Mstn,0.0028366812,0.4226497
1700019A02Rik,0.0,1.0
Pms1,-0.023518145,0.627632
Ormdl1,0.10711226,0.16828926
Osgepl1,0.024966069,0.6759686
Gm28551,0.0,1.0
Asnsd1,0.05137466,0.39710903
Dnah7a,0.061335254,0.2571816
Stk17b,0.02107235,0.7310354
Hecw2,-0.06436554,0.29082477
Ccdc150,0.0,1.0
Gtf3c3,-0.054218486,0.5865852
Pgap1,-0.004134774,0.9814088
Ankrd44,0.07490638,0.6881082
4930444A19Rik,0.0,1.0
Sf3b1,0.14218414,0.46928683
Coq10b,0.059136197,0.41536176
Hspd1,-0.10890418,0.53170085
Hspe1,-0.044602573,0.84745735
Mob4,0.017298043,0.8825498
Rftn2,-0.028211042,0.8155329
Gm10561,0.12705041,0.12157937
Mars2,-0.116023116,0.25973186
Boll,0.0,1.0
Plcl1,-0.06528698,0.12179091
Satb2,-0.08083779,0.17404805
BC055402,0.0,1.0
4930558J18Rik,-0.005629754,0.62911445
1700066M21Rik,-0.02098509,0.8331424
Tyw5,-0.0109889805,0.8439361
9430016H08Rik,-0.0056483746,0.8864925
Spats2l,0.028749585,0.8009465
Kctd18,0.078400366,0.32414272
Sgol2a,-0.07628055,0.39551076
Aox1,-0.031033363,0.3171267
Aox3,0.0,1.0
Aox4,-0.020355228,0.571949
Bzw1,-0.036752284,0.7658299
Clk1,0.19110364,0.4365129
Ppil3,-0.07510312,0.1791085
Nif3l1,0.12216786,0.0887195
Orc2,0.022350281,0.67972505
Gm15834,0.02653453,0.21867974
Fam126b,-0.17340061,0.30634058
Ndufb3,-0.074537456,0.59619594
Als2cr12,0.0,1.0
Cflar,-0.01811111,0.87833905
Casp8,0.070426315,0.30225652
Trak2,-0.049990654,0.18324581
Stradb,0.08484356,0.060467392
Tmem237,-0.045907483,0.51117605
G730003C15Rik,-0.005670503,0.7612212
Mpp4,0.00040175708,0.8701862
Als2,0.026815057,0.8220301
Cdk15,0.0,1.0
Fzd7,0.024072198,0.23829103
Gm973,0.0,1.0
Gm28411,0.0,1.0
Sumo1,-0.009495854,0.9677436
Nop58,0.117210686,0.24841312
Bmpr2,-0.18751922,0.23818383
Fam117b,-0.16006856,0.079227135
Ica1l,0.039025456,0.44947773
Wdr12,0.1101348,0.14605103
Carf,-0.02916567,0.6346969
Nbeal1,0.09109044,0.42070746
Cyp20a1,0.106416434,0.14245875
Abi2,-0.17463166,0.081630506
Raph1,-0.22410417,0.23629911
Cd28,-0.013680804,0.42264965
Ctla4,0.0,1.0
Icos,0.0,1.0
Pard3b,0.01634244,0.59569305
Pard3bos1,0.0,1.0
Nrp2,0.022241592,0.7558731
Gm29083,0.0019927605,0.6305329
Ino80d,-0.1598312,0.27672607
Ino80dos,-0.0436255,0.36558452
Gm20342,-0.061520927,0.28948775
Ndufs1,-0.19999528,0.102446295
Eef1b2,0.21753836,0.5134107
Gpr1,0.005356888,0.42264977
Zdbf2,-0.068745926,0.4717493
Adam23,-0.11686635,0.29851246
Dytn,0.0012004602,0.4226497
Mdh1b,0.0,1.0
Fastkd2,-0.02358554,0.63842815
4933402D24Rik,0.0,1.0
Klf7,-0.077519834,0.6159644
Gm26649,0.017317455,0.4561652
Gm28981,0.0,1.0
Creb1,0.038019747,0.7628834
Mettl21a,-0.012033116,0.5734227
Ccnyl1,-0.023143515,0.4321883
Fzd5,-0.014564133,0.61083156
Plekhm3,-0.0996018,0.111108184
D630023F18Rik,-0.060530066,0.19826789
Idh1,0.04493344,0.6738798
Pikfyve,-0.10836677,0.19813655
Map2,-0.3486452,0.07054487
Gm10558,0.0081161605,0.42264965
Unc80,-0.1282517,0.48441273
Rpe,-0.0046839863,0.94283015
Kansl1l,0.010873377,0.90106004
Acadl,0.059254743,0.441613
Myl1,-0.033582382,0.40986764
Lancl1,-0.16034244,0.14378896
Erbb4,-0.12814556,0.40382642
Gm28497,0.0,1.0
Gm29113,0.0,1.0
Gm29114,0.0,1.0
Ikzf2,-0.073797226,0.126435
Spag16,0.0,1.0
Vwc2l,0.005305888,0.8814451
Bard1,-0.029753271,0.37020183
Atic,0.040823177,0.41587186
Fn1,0.022279765,0.49494866
Apol7d,0.0024711983,0.4226497
4933417E11Rik,0.0,1.0
Mreg,-0.029226543,0.1682188
D230017M19Rik,0.009273991,0.8112921
Pecr,0.009890668,0.80907166
Tmem169,-0.037646897,0.4885683
Xrcc5,0.07476528,0.084046185
March4,-0.027266167,0.44247705
Smarcal1,-0.0013682991,0.97959346
Rpl37a,0.11366415,0.72594655
Igfbp2,0.010620598,0.5994566
Igfbp5,-0.26800597,0.020225408
6030407O03Rik,-0.016214918,0.5253807
Tns1,1.9792933e-05,0.99835354
Rufy4,0.0,1.0
Cxcr2,0.0,1.0
Cxcr1,0.0,1.0
Arpc2,0.076865315,0.33074096
Aamp,-0.13069141,0.5460196
Pnkd,-0.12248784,0.33653873
Tmbim1,-0.060034335,0.50379086
Catip,0.009087205,0.40430972
Slc11a1,0.015187491,0.58810264
Ctdsp1,-0.04301663,0.07437946
Vil1,0.004408389,0.42264977
Usp37,-0.16913888,0.06854027
Rqcd1,-0.042548843,0.17307734
Plcd4,0.020098228,0.3682136
Zfp142,0.08025301,0.20458187
Bcs1l,-0.002036374,0.93794686
Rnf25,0.029715367,0.50561535
Stk36,-0.018230861,0.4614692
Ttll4,-0.036041267,0.6930033
Cyp27a1,0.028002337,0.18419085
Prkag3,0.009487738,0.42264977
Wnt6,0.0,1.0
Wnt10a,-0.016399713,0.36605105
Cdk5r2,-0.1474364,0.13147773
Ccdc108,-0.017466053,0.4243272
Ihh,-0.009436396,0.42264977
Nhej1,0.006727215,0.4226497
Slc23a3,0.0,1.0
Cnppd1,0.080422275,0.18639351
Fam134a,-0.019497126,0.8489903
Zfand2b,-0.061102867,0.32244083
Abcb6,-0.01600561,0.4646474
