rho_mult,alpha_0,median_minBH_p,emp_p_le_obs,frac_any_BH_lt_0.05
0.25,16.850194075689853,0.6697966398415525,0.1475,0.019
0.5,33.700388151379705,0.6678833761520571,0.171,0.0175
1.0,67.40077630275941,0.6382886332247995,0.209,0.0245
2.0,134.80155260551882,0.6166459386321117,0.2345,0.0275
5.0,337.00388151379707,0.6180142247755128,0.2335,0.029
