celltype,Fos,Gltp,Junb,Runx2,Sgk1,Sla2
Astrocyte,0.24470734744707348,0.14259028642590285,0.25716064757160645,0.0012453300124533001,0.10398505603985056,0.0
Endothelial,0.7308411214953271,0.3719626168224299,0.7663551401869159,0.003738317757009346,0.4785046728971963,0.0
Ependymal,0.39133858267716537,0.2094488188976378,0.4251968503937008,0.046456692913385826,0.6204724409448819,0.0015748031496062992
Microglia,0.9040359865050606,0.5246782456578784,0.9387729601399475,0.001874297138573035,0.7474696988629264,0.00024990628514307136
Neuron,0.6533864541832669,0.17928286852589642,0.6852589641434262,0.055776892430278883,0.23107569721115537,0.0
OPC,0.8446866485013624,0.6008174386920981,0.7275204359673024,0.05722070844686648,0.5272479564032697,0.0027247956403269754
Oligodendrocyte,0.5924839596700275,0.9167736021998166,0.5138405132905591,0.001466544454628781,0.910724106324473,0.00036663611365719525
Pericyte,0.5561224489795918,0.32653061224489793,0.9948979591836735,0.2193877551020408,0.25,0.2653061224489796
VLMC,0.7841726618705036,0.5359712230215827,0.8057553956834532,0.0035971223021582736,0.2302158273381295,0.0
