ligand,receptor,sender,receiver,score,lig_expr,rec_expr
C3,C3ar1,Endothelial,Pericyte,1.7294552890234627e-05,0.0006033933605067432,0.028662152588367462
Spp1,Cd44,Oligodendrocyte,Astrocyte,1.2995966244488955e-05,0.001599745242856443,0.008123772218823433
Spp1,Cd44,Microglia,OPC,6.7889045567426365e-06,0.010916339233517647,0.0006219030474312603
Spp1,Cd44,Oligodendrocyte,Neuron,6.347138878481928e-06,0.001599745242856443,0.003967593424022198
Spp1,Cd44,Neuron,OPC,4.793748757947469e-06,0.007708192802965641,0.0006219030474312603
Spp1,Cd44,Astrocyte,OPC,3.3314483971480513e-06,0.005356861278414726,0.0006219030474312603
Spp1,Cd44,Pericyte,OPC,3.1753086204844294e-06,0.005105793476104736,0.0006219030474312603
Spp1,Cd44,Oligodendrocyte,OPC,9.948864772013621e-07,0.001599745242856443,0.0006219030474312603
C3,C3ar1,Astrocyte,OPC,0.0,0.0,0.03690195083618164
C3,C3ar1,Astrocyte,Neuron,0.0,0.0,0.08025035262107849
C3,C3ar1,Astrocyte,Microglia,0.0,0.0,1.0495631694793701
C3,C3ar1,Astrocyte,Oligodendrocyte,0.0,0.0,0.03316846862435341
Cx3cl1,Cx3cr1,Pericyte,Oligodendrocyte,0.0,0.0,0.13822534680366516
Cx3cl1,Cx3cr1,Pericyte,Astrocyte,0.0,0.0,0.12814398109912872
Cx3cl1,Cx3cr1,Pericyte,Microglia,0.0,0.0,2.9468533992767334
Cx3cl1,Cx3cr1,Pericyte,Neuron,0.0,0.0,0.26524627208709717
Spp1,Cd44,OPC,Ependymal,0.0,0.0,0.33955907821655273
Spp1,Cd44,OPC,Endothelial,0.0,0.0,0.03779521584510803
Spp1,Cd44,OPC,Oligodendrocyte,0.0,0.0,0.00579129159450531
Spp1,Cd44,OPC,Astrocyte,0.0,0.0,0.008123772218823433
Spp1,Cd44,OPC,Microglia,0.0,0.0,0.010895809158682823
Spp1,Cd44,OPC,Neuron,0.0,0.0,0.003967593424022198
Spp1,Cd44,OPC,VLMC,0.0,0.0,0.028581038117408752
Spp1,Cd44,OPC,Pericyte,0.0,0.0,0.394557386636734
C3,C3ar1,Pericyte,Microglia,0.0,0.0,1.0495631694793701
C3,C3ar1,Pericyte,Neuron,0.0,0.0,0.08025035262107849
C3,C3ar1,Pericyte,OPC,0.0,0.0,0.03690195083618164
C3,C3ar1,Pericyte,VLMC,0.0,0.0,1.2773313522338867
C3,C3ar1,Pericyte,Ependymal,0.0,0.0,0.04400970786809921
C3,C3ar1,Pericyte,Endothelial,0.0,0.0,0.06593924015760422
Cx3cl1,Cx3cr1,Pericyte,Ependymal,0.0,0.0,0.17247284948825836
Cx3cl1,Cx3cr1,Pericyte,VLMC,0.0,0.0,0.8772769570350647
Cx3cl1,Cx3cr1,Pericyte,OPC,0.0,0.0,0.1607692539691925
Cx3cl1,Cx3cr1,Pericyte,Endothelial,0.0,0.0,0.2847607433795929
C3,C3ar1,Astrocyte,VLMC,0.0,0.0,1.2773313522338867
C3,C3ar1,Pericyte,Oligodendrocyte,0.0,0.0,0.03316846862435341
C3,C3ar1,Pericyte,Astrocyte,0.0,0.0,0.032346196472644806
C3,C3ar1,Astrocyte,Ependymal,0.0,0.0,0.04400970786809921
C3,C3ar1,Astrocyte,Endothelial,0.0,0.0,0.06593924015760422
C3,C3ar1,Astrocyte,Pericyte,0.0,0.0,0.028662152588367462
