gene,log2FC,p
Tmem182,0.0,1.0
Gm29260,0.0,1.0
Gm9915,0.0020827306,0.6380589
Pantr1,0.042018086,0.5765962
Pou3f3,-0.053294837,0.49083266
Dalir,-0.007339995,0.4226497
Mrps9,0.03958212,0.32407108
Gpr45,0.017853484,0.64056003
Tgfbrap1,-0.034399778,0.43433565
Gm28782,-0.0043508075,0.792161
8430432A02Rik,-0.0041334,0.59309846
AI597479,-0.025107585,0.25755566
Fhl2,-0.0046007615,0.7771456
Nck2,-0.030333914,0.25456056
1500015O10Rik,-0.033392005,0.026853416
Gm29155,0.0010182487,0.792286
Gm29157,0.0,1.0
Gm29156,0.0,1.0
Uxs1,0.03592269,0.3755394
Tpp2,0.013820231,0.7821925
Mettl21c,0.00053505553,0.8678483
Gm8251,0.0,1.0
Tex30,0.03349301,0.24648705
Kdelc1,0.023951106,0.11302469
Bivm,-0.023108386,0.18439247
Ercc5,0.026281312,0.5953581
Gulp1,0.0034644026,0.8066416
Col3a1,0.0,1.0
Col5a2,-0.0025563033,0.4226497
Wdr75,-0.043246,0.14939988
Gm5269,0.0,1.0
Slc40a1,0.0007734746,0.77655774
Dnah7b,-0.048485864,0.04799922
Dnah7c,0.0038556831,0.25225475
Slc39a10,-0.017868012,0.67837137
Gm28151,-0.026486028,0.0055006016
Tmeff2,0.09419894,0.156628
Gm28322,-0.0010010457,0.42264977
Gm29325,0.008538198,0.40382499
9330175M20Rik,-0.0010269213,0.7384975
Sdpr,-0.0011833161,0.8781968
1700072G22Rik,0.0,1.0
Nabp1,0.0018193461,0.9122376
Myo1b,-0.018778745,0.2510708
Stat4,0.0,1.0
Stat1,0.032560125,0.7203171
Gls,-0.071796596,0.42327523
Nab1,-0.0063536763,0.82155466
Gm553,-0.0039662793,0.4226497
Tmem194b,-0.0057990737,0.8443944
Mfsd6,-0.016163468,0.77002937
Inpp1,0.0058604777,0.88923544
Hibch,-0.0036896467,0.88354796
1700019D03Rik,0.00551717,0.87420785
Mstn,0.0,1.0
1700019A02Rik,-0.0031222904,0.42264965
Pms1,-0.025993861,0.2482427
Ormdl1,0.039993986,0.18427613
Osgepl1,0.0023434535,0.94972783
Gm28551,0.0011698261,0.8118128
Asnsd1,0.0135082975,0.7435889
Dnah7a,-0.023247553,0.06243496
Stk17b,0.032933086,0.21087466
Hecw2,-0.018362224,0.6169162
Ccdc150,0.0029021304,0.4226497
Gtf3c3,0.02497834,0.42450064
Pgap1,0.024495542,0.5347756
Ankrd44,0.07516223,0.2250922
4930444A19Rik,0.001772161,0.42264965
Sf3b1,-0.04038453,0.5184948
Coq10b,0.07623768,0.4664863
