gene,log2FC,p
Il18r1,-0.0014724229,0.058458056
Il18rap,-0.000325573,0.4226497
Slc9a4,-0.00027290187,0.42264977
Slc9a2,0.0,1.0
Mfsd9,-0.0006891908,0.6540102
Tmem182,-0.00029966817,0.3686112
Gm29260,0.0,1.0
Gm9915,0.00042575374,0.42264965
Pantr1,0.0445233,0.4599173
Pou3f3,0.020890117,0.6784035
Dalir,0.00048175445,0.42264977
Mrps9,0.0030513108,0.8674253
Gpr45,-0.00031981315,0.8777247
Tgfbrap1,0.01107268,0.7023239
Gm28782,0.005260015,0.41839263
8430432A02Rik,-0.0013454575,0.4216395
AI597479,-0.011081062,0.19343142
Fhl2,0.0007350485,0.21185279
Nck2,-0.024189956,0.06724016
1500015O10Rik,-0.03980362,0.021474587
Gm29155,-0.00071854674,0.32274354
Gm29157,0.0,1.0
Gm29156,0.00014054934,0.4226497
Uxs1,-0.004893817,0.8037351
Tpp2,-0.0027920604,0.8256307
Mettl21c,-0.0001548694,0.7923391
Gm8251,0.00011214543,0.42264965
Tex30,0.001497969,0.81861776
Kdelc1,-0.0011306703,0.80630004
Bivm,-0.0064903293,0.23194052
Ercc5,0.009095423,0.147247
Gulp1,-0.00033575977,0.32903564
Col3a1,0.0,1.0
Col5a2,-0.00014845055,0.77362853
Wdr75,-0.0016343445,0.8415252
Gm5269,0.0,1.0
Slc40a1,0.0029388363,0.36556295
Dnah7b,-0.00014396769,0.928994
Dnah7c,0.0,1.0
Slc39a10,-0.010738835,0.25138205
Gm28151,-0.00030252337,0.940242
Tmeff2,-0.00022220612,0.9984732
Gm28322,0.032800667,0.11168371
Gm29325,0.006377682,0.64808816
9330175M20Rik,-0.00054419227,0.83770126
Sdpr,0.021020032,0.38387886
1700072G22Rik,0.0,1.0
Nabp1,0.00011123344,0.99357456
Myo1b,0.0007503915,0.69478214
Stat4,-0.00024862427,0.42264977
Stat1,0.0007403344,0.9540821
Gls,-0.02741684,0.45521766
Nab1,-0.018528134,0.4297109
Gm553,0.0,1.0
Tmem194b,0.0055853855,0.34905973
Mfsd6,0.005220771,0.9006905
Inpp1,0.010195117,0.3374542
Hibch,0.005128838,0.77900326
1700019D03Rik,-0.006494928,0.3561029
Mstn,0.0003372616,0.4226497
1700019A02Rik,0.00034336222,0.4226497
Pms1,-0.012271281,0.14609537
Ormdl1,-0.017563596,0.050789457
Osgepl1,0.007049907,0.31323892
Gm28551,-0.00014922908,0.85307693
Asnsd1,-0.008669354,0.5930474
Dnah7a,0.0002501654,0.65982664
Stk17b,-0.005960595,0.5148316
Hecw2,0.0041386783,0.9221128
Ccdc150,-0.0007707768,0.27034366
Gtf3c3,-0.007251546,0.32361773
Pgap1,-0.006084293,0.86196446
Ankrd44,0.0009998381,0.9481803
4930444A19Rik,0.0,1.0
Sf3b1,0.054131806,0.16731063
Coq10b,0.021461852,0.31967735
Hspd1,-0.09720725,0.38514483
Hspe1,-0.22191095,0.0741929
Mob4,0.010012865,0.31857377
Rftn2,0.02745682,0.43579274
Gm10561,0.0022398904,0.531158
Mars2,-0.0023095235,0.8474907
Boll,0.00042622662,0.42264965
Plcl1,0.18745399,0.18504609
Satb2,-0.00022591563,0.78195024
BC055402,0.00028539007,0.818653
4930558J18Rik,0.0,1.0
1700066M21Rik,-0.035545975,0.35514674
Tyw5,-0.0032387078,0.86032784
9430016H08Rik,0.0057009757,0.6821862
Spats2l,-0.0028032959,0.79923034
Kctd18,-0.0029254854,0.8152658
Sgol2a,-0.001081231,0.7580459
Aox1,-0.002160226,0.5042442
Aox3,0.0004627195,0.26509055
Aox4,0.0,1.0
Bzw1,-0.010475278,0.78664726
Clk1,0.1259306,0.08517716
Ppil3,-0.0004120916,0.9750764
Nif3l1,-0.0017009526,0.8073809
Orc2,0.015780784,0.04002818
Gm15834,0.00045081548,0.49826646
Fam126b,0.010619655,0.54936177
Ndufb3,-0.11198717,0.26604494
Als2cr12,0.00036063144,0.59347105
Cflar,0.010250494,0.40516144
Casp8,0.006223467,0.1678552
Trak2,-0.0018034875,0.8816024
Stradb,-0.0029427186,0.8054659
Tmem237,-0.075250536,0.13410252
G730003C15Rik,-0.001510859,0.21515751
Mpp4,-0.0001387985,0.8959384
Als2,0.0054678842,0.2546636
Cdk15,-0.0003359752,0.4226497
Fzd7,-0.020177461,0.22165748
Gm973,0.0003628889,0.7529679
Gm28411,0.0,1.0
Sumo1,-0.02533102,0.48343396
Nop58,0.021297298,0.24933693
Bmpr2,-0.025999576,0.5967921
Fam117b,0.0012599975,0.9595443
Ica1l,-0.00034576934,0.7566525
Wdr12,0.0031911507,0.8459092
Carf,0.019181509,0.09728003
Nbeal1,-0.0076915026,0.820047
Cyp20a1,-0.009537578,0.7521421
Abi2,0.005591601,0.66196436
Raph1,-0.008202869,0.5115402
Cd28,0.0005947781,0.23982674
Ctla4,-0.0001589125,0.8734601
Icos,0.000116337964,0.8045932
Pard3b,0.0033772276,0.4486157
Pard3bos1,-0.000803515,0.18938756
Nrp2,0.0054639652,0.78953147
Gm29083,-0.0065802485,0.7126322
Ino80d,0.022419289,0.48051852
Ino80dos,0.0045077503,0.6870715
Gm20342,0.008877285,0.3264713
Ndufs1,0.032375008,0.10782515
Eef1b2,-0.13470304,0.1435544
Gpr1,0.0,1.0
Zdbf2,0.0006481072,0.13040397
