gene,log2FC,p
AI597479,-0.0029406901,0.84438205
Fhl2,0.0,1.0
Nck2,-0.008439165,0.5851715
1500015O10Rik,-0.040855557,0.35509464
Gm29155,0.0,1.0
Gm29157,0.0,1.0
Gm29156,0.0,1.0
Uxs1,0.094582796,0.086435996
Tpp2,-0.11194247,0.26672676
Mettl21c,-0.005051516,0.71348184
Gm8251,0.0,1.0
Tex30,0.0142028555,0.5908163
Kdelc1,0.009367909,0.76749295
Bivm,0.021839472,0.30456567
Ercc5,-0.024441823,0.24955747
Gulp1,0.0,1.0
Col3a1,0.0,1.0
Col5a2,0.0,1.0
Wdr75,-0.053852696,0.040317606
Gm5269,0.0,1.0
Slc40a1,0.12247637,0.41826224
Dnah7b,0.0,1.0
Dnah7c,0.0,1.0
Slc39a10,-0.009401448,0.8472568
Gm28151,0.001034413,0.89719385
Tmeff2,-0.012611825,0.70269567
Gm28322,0.0,1.0
Gm29325,0.002629067,0.42264977
9330175M20Rik,0.0,1.0
Sdpr,0.002629067,0.42264977
1700072G22Rik,0.0,1.0
Nabp1,-0.06821577,0.057938114
Myo1b,-0.030451406,0.13072605
Stat4,-0.014314001,0.3857959
Stat1,0.16156459,0.10910491
Gls,-0.0056518316,0.94742966
Nab1,0.08895149,0.15695621
Gm553,0.0,1.0
Tmem194b,0.009766585,0.55045795
Mfsd6,0.05526439,0.17362408
Inpp1,0.011351697,0.65208805
Hibch,0.045523785,0.065673634
1700019D03Rik,0.0,1.0
Mstn,0.0,1.0
1700019A02Rik,0.0,1.0
Pms1,0.0013875309,0.9520362
Ormdl1,0.05061037,0.19828585
Osgepl1,-0.0029016556,0.79666036
Gm28551,0.0,1.0
Asnsd1,0.049598634,0.29273438
Dnah7a,-0.0028140824,0.78408414
Stk17b,-0.4661668,0.11843709
Hecw2,0.0052630627,0.7302924
Ccdc150,-0.0039963224,0.42264965
Gtf3c3,-0.024074502,0.24640408
Pgap1,-0.014586806,0.8160107
Ankrd44,0.013719201,0.89195985
4930444A19Rik,0.0,1.0
Sf3b1,-0.08327639,0.5620313
Coq10b,-0.1441108,0.27343872
Hspd1,0.22470957,0.23062934
Hspe1,0.09172648,0.6074648
Mob4,0.04506913,0.7001478
Rftn2,-0.014703521,0.10471137
Gm10561,0.0040429104,0.4226497
Mars2,0.0043292195,0.8373292
Boll,0.0,1.0
Plcl1,0.018245898,0.36042535
Satb2,0.0,1.0
BC055402,0.0,1.0
4930558J18Rik,0.0,1.0
1700066M21Rik,0.002924474,0.83720344
Tyw5,0.005432278,0.802933
9430016H08Rik,0.0031713843,0.9551169
Spats2l,0.03003655,0.52663
Kctd18,0.0154899005,0.45936266
Sgol2a,-0.007908671,0.4388963
Aox1,0.0,1.0
Aox3,0.0044778534,0.4226497
Aox4,0.0,1.0
Bzw1,-0.026185542,0.7824973
Clk1,-0.09135169,0.40507045
Ppil3,0.029520474,0.334386
Nif3l1,0.0149450805,0.37747633
Orc2,-0.023720741,0.36903685
Gm15834,0.0,1.0
