gene,log2FC,p
Mfsd9,0.006570326,0.14403969
Tmem182,0.0023762495,0.41961312
Gm29260,0.0,1.0
Gm9915,0.0,1.0
Pantr1,0.0710522,0.121630214
Pou3f3,0.08995204,0.091116585
Dalir,0.0029866546,0.20413227
Mrps9,0.026396602,0.49971628
Gpr45,-0.0017307112,0.4226497
Tgfbrap1,0.026726227,0.36758164
Gm28782,0.0020164603,0.42264965
8430432A02Rik,0.007081624,0.41200572
AI597479,0.029744925,0.04918613
Fhl2,0.014483038,0.12716955
Nck2,0.037882157,0.39836425
1500015O10Rik,-1.0297556,0.07613406
Gm29155,-0.00061492436,0.21674295
Gm29157,-0.0072219446,0.5002642
Gm29156,0.0,1.0
Uxs1,-0.06390678,0.08410192
Tpp2,0.048679233,0.16119826
Mettl21c,0.004036174,0.497857
Gm8251,0.0043670367,0.4226497
Tex30,0.014337979,0.59640074
Kdelc1,0.012275109,0.40641722
Bivm,0.018078635,0.4756257
Ercc5,0.024011217,0.3073807
Gulp1,-0.01741995,0.4909812
Col3a1,-0.000918732,0.81358516
Col5a2,0.041159235,0.079927035
Wdr75,0.009292264,0.15363261
Gm5269,0.0,1.0
Slc40a1,0.059503637,0.4917384
Dnah7b,0.079921946,0.06511102
Dnah7c,0.048742097,0.19669585
Slc39a10,-0.001634147,0.88692427
Gm28151,0.021824133,0.20889647
Tmeff2,0.032090917,0.114755936
Gm28322,-0.0015052472,0.18439913
Gm29325,-0.0008164589,0.42264977
9330175M20Rik,0.00042113394,0.4226497
Sdpr,-0.034042835,0.24280816
1700072G22Rik,0.0010320542,0.66475105
Nabp1,0.06992687,0.38521305
Myo1b,0.016389009,0.23291312
Stat4,0.0118066445,0.3650665
Stat1,0.086397216,0.11686729
Gls,0.00086671114,0.9904071
Nab1,0.15869279,0.040057093
Gm553,0.0012973374,0.494339
Tmem194b,0.011741274,0.03563071
Mfsd6,0.007823989,0.72996294
Inpp1,-0.006350942,0.51359004
Hibch,-0.03789912,0.2932588
1700019D03Rik,0.029617956,0.00021349914
Mstn,0.0,1.0
1700019A02Rik,0.0,1.0
Pms1,0.010053181,0.008150015
Ormdl1,-0.042309254,0.05769582
Osgepl1,-0.009911731,0.30407652
Gm28551,0.0007798503,0.6082966
Asnsd1,0.036964178,0.5171825
Dnah7a,0.047207773,0.2791292
Stk17b,0.17797935,0.37865534
Hecw2,0.0038590338,0.51823884
Ccdc150,0.01118506,0.08129782
Gtf3c3,0.023415457,0.3091067
Pgap1,0.03468679,0.35411832
Ankrd44,0.2584387,0.09285018
4930444A19Rik,0.0,1.0
Sf3b1,0.1869204,0.252921
Coq10b,0.12992477,0.15900837
Hspd1,0.0072885156,0.88662416
Hspe1,0.055294514,0.3870481
Mob4,-0.05175641,0.087500334
Rftn2,0.045682278,0.08207207
Gm10561,0.018356822,0.44006735
Mars2,0.0029350012,0.66748345
Boll,0.0,1.0
Plcl1,-0.0104229,0.80400217
Satb2,0.00016621978,0.9293963
BC055402,0.0,1.0
4930558J18Rik,0.0,1.0
1700066M21Rik,0.0063222386,0.69293714
Tyw5,-0.011088755,0.068744004
9430016H08Rik,-0.008603722,0.60656846
Spats2l,0.0099469125,0.79070425
Kctd18,0.025046876,0.17721158
Sgol2a,-0.006485033,0.3420135
Aox1,-0.010448441,0.58342206
Aox3,0.018098664,0.29783344
Aox4,0.0,1.0
Bzw1,0.03045547,0.60859025
Clk1,0.2258366,0.09842948
Ppil3,0.075427376,0.0019676653
Nif3l1,0.014174247,0.399019
Orc2,0.026637107,0.22177392
Gm15834,0.0022520097,0.6320575
Fam126b,0.054082483,0.17513148
Ndufb3,-0.17731541,0.12709588
Als2cr12,0.032597348,0.11800128
Cflar,0.11992814,0.19232084
Casp8,0.038627118,0.086791195
Trak2,0.00014106557,0.99421364
Stradb,0.01213821,0.49511436
Tmem237,-0.43648514,0.09271492
G730003C15Rik,0.015202204,0.0072724
Mpp4,-0.0024212277,0.34089604
Als2,-0.005766289,0.14389321
Cdk15,-8.2856044e-05,0.9867542
Fzd7,-0.009261597,0.5800599
Gm973,0.19727682,0.12440339
Gm28411,0.00065441744,0.7112093
Sumo1,-0.09853959,0.18749936
Nop58,0.037289396,0.005243724
Bmpr2,0.05920679,0.34405428
Fam117b,0.040741637,0.1891922
Ica1l,0.012015196,0.15698205
Wdr12,0.022600956,0.053627748
Carf,0.005417941,0.57108635
Nbeal1,0.089468986,0.25500026
Cyp20a1,0.01889278,0.26898178
Abi2,0.022000559,0.55588526
Raph1,0.032086458,0.22469789
Cd28,0.0066187703,0.4376997
Ctla4,0.0,1.0
Icos,-0.0008705648,0.4226497
Pard3b,0.020032994,0.38917956
Pard3bos1,0.0,1.0
Nrp2,0.047640316,0.15286954
Gm29083,0.0051806574,0.17678148
Ino80d,0.067901924,0.33699492
Ino80dos,0.00769982,0.45508224
Gm20342,0.060303748,0.12912217
Ndufs1,-0.058819473,0.33747578
Eef1b2,0.045194387,0.55854076
Gpr1,0.0,1.0
Zdbf2,-0.013511034,0.32907218
Adam23,0.003029333,0.47737762
Dytn,0.0044400566,0.23425426
Mdh1b,0.08046078,0.23480806
Fastkd2,-0.0028521605,0.8930946
4933402D24Rik,0.0038266885,0.43295136
Klf7,0.076817825,0.19976084
Gm26649,-0.00081810314,0.42264977
Gm28981,-0.0026716786,0.4226497
Creb1,0.0035389885,0.94021624
Mettl21a,0.028130963,0.22903831
Ccnyl1,0.0013962369,0.81890595
Fzd5,0.0069526583,0.36926448
Plekhm3,0.058817882,0.2173869
D630023F18Rik,-0.0010398505,0.62864417
Idh1,-0.08249441,0.124307744
Pikfyve,0.006648548,0.5837632
Map2,0.1349679,0.10632763
Gm10558,0.0009621987,0.5448795
Unc80,0.04532552,0.15597755
Rpe,-0.035487235,0.2454541
Kansl1l,0.03438951,0.35053807
Acadl,-0.009436399,0.8742033
Myl1,0.00070045434,0.75963026
Lancl1,0.04829768,0.09947385
Erbb4,-0.014536962,0.3506917
Gm28497,0.0027216475,0.47447488
Gm29113,0.0,1.0
Gm29114,0.003925601,0.42264977
Ikzf2,0.05956297,0.12626667
Spag16,0.10786615,0.081862435
Vwc2l,-0.00030983493,0.64009625
Bard1,0.0104121305,0.4851955
Atic,0.09149753,0.074235454
Fn1,0.019058637,0.75072736
Apol7d,0.00042113394,0.4226497
4933417E11Rik,0.0,1.0
Mreg,0.0007232721,0.8740663
D230017M19Rik,0.015280373,0.28721237
Pecr,0.024581082,0.19141357
Tmem169,0.0,1.0
Xrcc5,0.017227322,0.54186493
March4,0.046029363,0.1441265
