"celltype","n_genes_tested","n_genes_input","n_p_lt_0.05","exp_p_lt_0.05","n_adjp_lt_0.05","min_p","min_adjp","top_gene","top_logFC"
"Astrocyte",9214,16227,592,460.7,2,2.2894769086874e-07,0.00210952402366457,"Ttr",-4.645
"Endothelial",7167,15670,422,358.4,0,4.94120210773618e-05,0.354135955061452,"Wfdc17",-2.687
"Ependymal",10974,17933,2030,548.7,0,6.61489266943324e-05,0.205620256131415,"Nov",4.638
"Microglia",11309,17849,1018,565.5,0,6.31485657408461e-06,0.0714147129963229,"Ttr",-4.685
"Neuron",6128,15699,553,306.4,2,1.05262032248749e-05,0.0403399332017761,"Ttr",-5.7
"OPC",9706,16113,866,485.3,0,7.18950806574332e-06,0.060679696276097,"Chn2",1.68
"Oligodendrocyte",11102,17566,741,555.1,1,4.15893982890848e-06,0.0461725499805419,"Ttr",-4.932
"Pericyte",2750,12837,208,137.5,1,1.0756376098e-05,0.0295800342695,"Ttr",-4.391
"VLMC",3854,13193,306,192.7,5,1.23947179334442e-06,0.0031336534362265,"Il1b",-1.707
