gene,log2FC,p
Mfsd9,0.0064717336,0.58292484
Tmem182,0.0,1.0
Gm29260,-0.0002458943,0.9252771
Gm9915,-0.002359592,0.4226497
Pantr1,-0.12989652,0.51988196
Pou3f3,-0.02725631,0.82855934
Dalir,0.00081653707,0.79415494
Mrps9,-0.00823696,0.73290503
Gpr45,-0.007854656,0.06586273
Tgfbrap1,0.013404004,0.39448985
Gm28782,-0.00095481443,0.42264965
8430432A02Rik,-0.0011139195,0.81504536
AI597479,-0.008737389,0.66978157
Fhl2,0.0,1.0
Nck2,0.0079935845,0.3921177
1500015O10Rik,-0.031680375,0.044069745
Gm29155,0.0,1.0
Gm29157,0.00059454056,0.68198663
Gm29156,0.0,1.0
Uxs1,0.024121515,0.23756811
Tpp2,-0.008129783,0.6476594
Mettl21c,0.0,1.0
Gm8251,0.0,1.0
Tex30,-0.0049108043,0.72778714
Kdelc1,-0.0054618903,0.83686566
Bivm,-0.013894647,0.4177491
Ercc5,-0.040745474,0.13366516
Gulp1,-0.018385597,0.16961819
Col3a1,0.0,1.0
Col5a2,0.0035214145,0.7077762
Wdr75,-0.021387253,0.18218754
Gm5269,0.0,1.0
Slc40a1,-4.8959628e-05,0.99716896
Dnah7b,-0.0012603067,0.9625081
Dnah7c,-0.0039191586,0.22714247
Slc39a10,-0.017363489,0.6061282
Gm28151,0.011846104,0.068347126
Tmeff2,-0.0022151694,0.9032268
Gm28322,0.006383019,0.47573733
Gm29325,0.0,1.0
9330175M20Rik,0.0,1.0
Sdpr,0.0031274054,0.4226497
1700072G22Rik,0.0,1.0
Nabp1,-0.003242746,0.5975267
Myo1b,0.0067902557,0.18663757
Stat4,0.0006980423,0.4226497
Stat1,0.009007357,0.41554725
Gls,-0.012726575,0.72655886
Nab1,-0.0002997443,0.9800978
Gm553,0.0,1.0
Tmem194b,0.011985671,0.17108515
Mfsd6,0.011202934,0.42602077
Inpp1,0.0348965,0.2361328
Hibch,-0.032269165,0.26065978
1700019D03Rik,0.006994009,0.800483
Mstn,-0.0006135976,0.4226497
1700019A02Rik,0.0,1.0
Pms1,0.0012924969,0.7438414
Ormdl1,-0.0006386936,0.9758
Osgepl1,0.027607903,0.22127956
Gm28551,0.002594777,0.4226497
Asnsd1,-0.0022231787,0.83156776
Dnah7a,0.003637095,0.7633924
Stk17b,-0.007897869,0.7133891
Hecw2,0.0028416184,0.679264
Ccdc150,0.0,1.0
Gtf3c3,-0.010961391,0.484849
Pgap1,-0.0037597418,0.76364565
Ankrd44,-0.0008829087,0.9298867
4930444A19Rik,0.0,1.0
Sf3b1,0.09369725,0.2110339
Coq10b,0.025735289,0.6697102
Hspd1,0.022578001,0.66689765
Hspe1,-0.026038766,0.6389599
Mob4,0.029901594,0.52251136
Rftn2,-0.047510892,0.3775334
Gm10561,0.02766323,0.7460474
Mars2,-0.020296324,0.04896653
Boll,0.0,1.0
Plcl1,0.017427072,0.65177786
Satb2,0.0,1.0
BC055402,0.0027582573,0.014520241
4930558J18Rik,0.0005335498,0.7884142
1700066M21Rik,0.0032259226,0.8655095
Tyw5,-0.010178395,0.49176913
9430016H08Rik,-0.0049415976,0.73002046
Spats2l,0.0073164217,0.6233159
Kctd18,-0.01372147,0.18112446
Sgol2a,0.0047620125,0.27690995
Aox1,0.01980234,0.101091936
Aox3,0.0,1.0
Aox4,0.0,1.0
Bzw1,0.07215959,0.2930509
Clk1,0.10433516,0.12048538
Ppil3,0.012432605,0.72566986
Nif3l1,-0.02055949,0.2189667
Orc2,1.1377037e-05,0.99954975
Gm15834,-0.004419566,0.2736091
Fam126b,0.002381757,0.9136551
Ndufb3,-0.09538454,0.10669642
Als2cr12,-0.000968993,0.42264977
Cflar,0.010694683,0.7760843
Casp8,-0.00036417367,0.96523565
Trak2,-0.0028904192,0.84471565
Stradb,0.012846887,0.231895
Tmem237,0.020356908,0.5117346
G730003C15Rik,0.010119274,0.15627632
Mpp4,-0.004144819,0.13551213
Als2,0.0034456067,0.65904486
Cdk15,0.0,1.0
Fzd7,0.000135988,0.9945452
Gm973,0.0031515956,0.8845563
Gm28411,0.0009563761,0.4226497
Sumo1,-0.011836141,0.8691196
Nop58,-0.0005620569,0.9598074
Bmpr2,-0.051331714,0.1614615
Fam117b,0.008401461,0.07441491
Ica1l,0.00015193364,0.9447446
Wdr12,-0.022817098,0.39329264
Carf,0.009546056,0.08064296
Nbeal1,0.048620403,0.321873
Cyp20a1,0.014439359,0.6848652
Abi2,-0.03898135,0.015394319
Raph1,-0.0024891533,0.8664039
Cd28,-0.0028632206,0.42264965
Ctla4,0.0,1.0
Icos,0.0,1.0
Pard3b,-0.009433769,0.45151615
Pard3bos1,-0.0009670812,0.4226497
Nrp2,0.0045324564,0.38962606
Gm29083,-0.005507554,0.4550557
Ino80d,0.03701794,0.4220096
Ino80dos,-0.006525278,0.7542111
Gm20342,0.040637955,0.3506899
Ndufs1,-0.03771758,0.44806296
Eef1b2,-0.006166458,0.9254084
Gpr1,0.0,1.0
Zdbf2,0.005777916,0.54924566
Adam23,-0.00092864037,0.9855002
Dytn,0.0,1.0
Mdh1b,0.0,1.0
Fastkd2,-0.0025610924,0.8360018
4933402D24Rik,0.00050781824,0.74507785
Klf7,0.06531075,0.3877228
Gm26649,-0.004454681,0.19034608
Gm28981,-0.00048072974,0.76428974
Creb1,-0.017753169,0.5113996
Mettl21a,0.012562163,0.68934864
Ccnyl1,-0.014527781,0.05071692
Fzd5,0.0072856713,0.6985915
Plekhm3,0.003516242,0.65900385
D630023F18Rik,0.0008025994,0.6300871
Idh1,0.019048601,0.68682784
Pikfyve,0.0077597797,0.71091247
Map2,-0.090620995,0.12916173
Gm10558,0.0,1.0
Unc80,-0.0058587994,0.42270303
Rpe,-0.027111351,0.36399704
Kansl1l,0.015078232,0.69696367
Acadl,0.10393894,0.20626327
Myl1,0.00359032,0.2208898
Lancl1,0.012030415,0.5994031
Erbb4,0.0031094998,0.84749556
Gm28497,0.0,1.0
