celltype,n_ctrl,n_surg,pct_ctrl,pct_surg,fisher_p,BH_p
Microglia,3514,4489,39.53,47.56,6.1048623988799165e-28,2.7471880794959626e-27
Oligodendrocyte,2651,2804,29.82,29.71,0.8716134699272788,0.9099853227501726
Astrocyte,864,742,9.72,7.86,9.848529852414807e-06,2.2159192167933316e-05
OPC,358,376,4.03,3.98,0.9099853227501726,0.9099853227501726
Endothelial,193,342,2.17,3.62,4.498986320981009e-09,1.3496958962943027e-08
Ependymal,953,317,10.72,3.36,1.1346149265010972e-88,1.0211534338509875e-87
Neuron,99,152,1.11,1.61,0.00414616261441265,0.00746309270594277
VLMC,151,127,1.7,1.35,0.0530322734867962,0.07954841023019431
Pericyte,107,89,1.2,0.94,0.09821559902656865,0.1262771987484454
