gene,log2FC,p
Gm29260,0.0,1.0
Gm9915,0.0,1.0
Pantr1,0.019159269,0.58507997
Pou3f3,0.03326028,0.33770677
Dalir,0.0,1.0
Mrps9,-0.032105133,0.2532703
Gpr45,0.0019011564,0.42264977
Tgfbrap1,-0.036618903,0.5489662
Gm28782,0.0,1.0
8430432A02Rik,0.0010534157,0.8614763
AI597479,0.006626904,0.7253051
Fhl2,-0.012864213,0.35370636
Nck2,-0.023464464,0.5860217
1500015O10Rik,-0.04096333,0.21608016
Gm29155,0.0,1.0
Gm29157,0.0,1.0
Gm29156,0.0,1.0
Uxs1,0.008051753,0.7079425
Tpp2,-0.007931873,0.7441526
Mettl21c,0.0,1.0
Gm8251,0.00028998964,0.9650854
Tex30,0.013488464,0.7531386
Kdelc1,0.05905972,0.06742225
Bivm,0.019934068,0.35458615
Ercc5,-0.0124920085,0.5897328
Gulp1,-0.053512674,0.3093446
Col3a1,-0.0056674452,0.20273395
Col5a2,6.447546e-06,0.99961835
Wdr75,0.0149156,0.71529233
Gm5269,-0.0041333768,0.42264977
Slc40a1,-0.17678383,0.36140472
Dnah7b,0.009375832,0.4226497
Dnah7c,0.0,1.0
Slc39a10,-0.2175349,0.20121886
Gm28151,-0.005758145,0.4530074
Tmeff2,0.010506317,0.772124
Gm28322,0.004973311,0.25620297
Gm29325,0.0,1.0
9330175M20Rik,0.003074142,0.42264965
Sdpr,-0.17912763,0.037394207
1700072G22Rik,-0.0048928787,0.42264965
Nabp1,-0.044010125,0.44913357
Myo1b,0.042388916,0.6490454
Stat4,-0.02007467,0.25046533
Stat1,-0.009055376,0.9270231
Gls,0.013677925,0.8350363
Nab1,-0.043723136,0.42402914
Gm553,0.0,1.0
Tmem194b,-0.037649654,0.3072616
Mfsd6,0.057506636,0.43257853
Inpp1,0.011627808,0.85807127
Hibch,-0.021673515,0.19419932
1700019D03Rik,0.0039586006,0.6428389
Mstn,0.0,1.0
1700019A02Rik,0.0,1.0
Pms1,-0.022695199,0.26073095
Ormdl1,-0.028518796,0.2910854
Osgepl1,0.010475729,0.7334202
Gm28551,0.0,1.0
Asnsd1,-0.031454667,0.45581102
Dnah7a,0.0007917446,0.42264977
Stk17b,0.035382032,0.6901932
Hecw2,-0.019514672,0.3921783
Ccdc150,0.0,1.0
Gtf3c3,-0.021139812,0.37617576
Pgap1,0.06272251,0.27669314
Ankrd44,0.007788688,0.89712536
4930444A19Rik,-0.0007790137,0.42264977
Sf3b1,0.1365825,0.39871362
Coq10b,0.13680813,0.28987947
Hspd1,-0.14358851,0.09287852
Hspe1,-0.009586275,0.95219094
Mob4,-0.028363436,0.7520823
Rftn2,-0.015684921,0.53845125
Gm10561,0.033175755,0.3160712
Mars2,0.0013956297,0.9332092
Boll,0.0,1.0
Plcl1,0.016624898,0.6564663
Satb2,0.0033392797,0.42264977
BC055402,0.0,1.0
4930558J18Rik,0.0,1.0
1700066M21Rik,-0.027278448,0.113258086
Tyw5,-0.015221652,0.4003661
9430016H08Rik,-0.007693857,0.81038326
Spats2l,-0.002302708,0.84579533
Kctd18,-0.011700731,0.40452388
Sgol2a,0.010112629,0.26913175
Aox1,0.008236214,0.5048351
Aox3,0.0011737038,0.42264965
Aox4,0.0,1.0
Bzw1,0.08220795,0.216444
Clk1,0.1079281,0.38732502
Ppil3,-0.03239078,0.4115932
Nif3l1,-0.027916308,0.36355984
Orc2,-0.029384807,0.47579873
Gm15834,0.0017332433,0.42264965
Fam126b,-0.06449727,0.27283567
Ndufb3,0.07805365,0.31243834
Als2cr12,0.0014635177,0.42264977
Cflar,-0.021819353,0.8263869
Casp8,-0.0025039464,0.971054
Trak2,-0.017954871,0.40128836
Stradb,-0.019574035,0.3529061
Tmem237,-0.044675894,0.27730882
G730003C15Rik,-0.0005731168,0.91842484
Mpp4,-0.0043816105,0.42264965
Als2,0.005143002,0.6254503
Cdk15,0.0054217153,0.2206794
Fzd7,-0.002122309,0.75490737
Gm973,0.0028202469,0.18400493
Gm28411,0.0,1.0
Sumo1,0.04937631,0.647441
Nop58,0.03134624,0.27140227
Bmpr2,-0.25995713,0.1303062
Fam117b,-0.12072857,0.0656873
Ica1l,-0.04377843,0.30292875
Wdr12,-0.009853698,0.703284
Carf,-0.01832499,0.45940432
Nbeal1,-0.00531736,0.95611703
Cyp20a1,0.04602097,0.3512128
Abi2,0.025436215,0.57163507
Raph1,-0.03144762,0.49469462
Cd28,-0.011757533,0.18375999
Ctla4,-0.0047913766,0.42264977
Icos,0.0016200603,0.79175085
Pard3b,0.019897915,0.59612316
Pard3bos1,0.0,1.0
Nrp2,0.08948669,0.23436072
Gm29083,0.0045758006,0.42264977
Ino80d,-0.022464633,0.6086579
Ino80dos,0.012950361,0.12814522
Gm20342,0.0041968785,0.85971636
Ndufs1,0.014429644,0.7791221
Eef1b2,-0.2040801,0.3636429
Gpr1,0.0042189183,0.56842136
Zdbf2,0.0024498594,0.4226497
Adam23,0.0033496248,0.29192057
Dytn,0.0,1.0
Mdh1b,0.0,1.0
Fastkd2,0.032017086,0.3509007
4933402D24Rik,0.0,1.0
Klf7,-0.19326639,0.18169026
Gm26649,-0.008673896,0.41290382
Gm28981,0.0,1.0
Creb1,0.04508774,0.39468375
Mettl21a,0.02004331,0.2656301
Ccnyl1,0.001989901,0.96691716
Fzd5,-0.018647255,0.5683558
Plekhm3,0.004502546,0.8005482
D630023F18Rik,0.0044571045,0.42264965
Idh1,-0.011536144,0.52665263
Pikfyve,0.0045326054,0.91342276
Map2,-0.000861112,0.9667346
Gm10558,0.0,1.0
Unc80,-0.0026043488,0.42264977
Rpe,0.065728806,0.092826724
Kansl1l,0.060740516,0.26765272
Acadl,0.120022446,0.38072357
Myl1,0.0028077264,0.42264977
Lancl1,0.030419432,0.38910943
Erbb4,-0.007716265,0.14896709
Gm28497,0.0,1.0
Gm29113,0.0,1.0
Gm29114,0.0,1.0
Ikzf2,-0.029951397,0.12773126
Spag16,0.0,1.0
Vwc2l,0.0,1.0
Bard1,0.009103273,0.18384519
Atic,0.010934219,0.65552425
Fn1,0.11494219,0.5941189
Apol7d,0.00651104,0.23618093
4933417E11Rik,0.0,1.0
Mreg,-0.0025902395,0.5268196
D230017M19Rik,0.00071529206,0.9382684
Pecr,0.009008065,0.7997188
Tmem169,0.0033616805,0.4226497
Xrcc5,0.0032663252,0.8630057
March4,0.0047820723,0.4226497
Smarcal1,0.023400739,0.12563291
Rpl37a,-0.26067948,0.3838546
Igfbp2,-0.028431337,0.018187916
Igfbp5,-0.00886827,0.52081
6030407O03Rik,0.00040426396,0.4226497
Tns1,0.021374047,0.7395972
Rufy4,0.0,1.0
Cxcr2,-0.0018723672,0.75039023
Cxcr1,0.0,1.0
Arpc2,0.1136893,0.28547975
Aamp,0.08873367,0.37734532
Pnkd,-0.0060741007,0.9639042
Tmbim1,0.06269488,0.3307174
Catip,-0.0036342829,0.5680747
Slc11a1,0.011781843,0.63372904
Ctdsp1,0.12138134,0.101540305
Vil1,0.1037101,0.38208959
Usp37,0.0393591,0.013542243
Rqcd1,-0.020115934,0.35657057
Plcd4,-0.0061455923,0.32084364
Zfp142,0.02239098,0.29203212
Bcs1l,0.0017572455,0.9290108
Rnf25,-0.046585828,0.113689415
Stk36,0.0007467048,0.42264965
Ttll4,-0.028625306,0.35383838
Cyp27a1,0.005283579,0.8660836
Prkag3,0.0,1.0
Wnt6,0.0,1.0
Wnt10a,0.0,1.0
Cdk5r2,-8.048839e-05,0.98482144
Ccdc108,-0.011247482,0.4226497
Ihh,0.0,1.0
Nhej1,-0.015121466,0.4632124
Slc23a3,-0.0059550423,0.23411188
Cnppd1,0.087004885,0.20966868
Fam134a,0.04693088,0.42644835
Zfand2b,0.032292597,0.2680663
Abcb6,0.014122337,0.08966637
Atg9a,-0.034591064,0.25374147
Ankzf1,-0.006939564,0.8328802
Glb1l,0.005894893,0.5667335
Stk16,-0.032711938,0.61731404
Tuba4a,-0.01937066,0.8157354
Dnajb2,0.013238072,0.8195467
Ptprn,0.0048199147,0.7694059
Resp18,0.0,1.0
Dnpep,0.16318022,0.19411051
Des,-0.050425693,0.4592818
Speg,0.02280942,0.193261
Gmppa,0.012806743,0.6989958
Asic4,0.00088196486,0.42264977
Chpf,0.00348676,0.7819546
Obsl1,-0.0046345396,0.6424155
Tmem198,0.0,1.0
Inha,0.0012856496,0.4226497
Stk11ip,0.012649277,0.30595347
Slc4a3,0.018658584,0.23726292
