,0,1,2,3,4,5
Myo1b,27,49,63,92,154,26
Stat4,3,4,5,1,10,1
Stat1,42,34,38,55,70,27
Gls,44,33,45,100,171,24
Nab1,20,31,37,55,96,20
Tmem194b,1,4,3,4,8,2
Mfsd6,9,19,8,28,29,13
Inpp1,14,13,25,54,47,16
Hibch,5,8,11,10,24,4
1700019D03Rik,1,0,0,1,0,2
Pms1,7,2,2,1,8,1
Ormdl1,11,7,9,15,23,8
Osgepl1,5,2,9,14,21,1
Asnsd1,11,8,8,24,29,5
Dnah7a,0,0,0,1,0,0
Stk17b,46,46,57,57,222,16
Hecw2,0,5,3,3,4,2
Gtf3c3,4,7,8,10,19,4
Pgap1,3,3,7,11,43,1
Ankrd44,14,13,25,22,69,2
4930444A19Rik,0,0,1,0,0,0
Sf3b1,89,95,117,213,324,76
Coq10b,54,44,63,109,206,36
Hspd1,46,44,73,90,114,40
Hspe1,67,95,77,179,204,61
Mob4,42,34,51,76,124,23
Rftn2,8,5,6,8,13,1
Gm10561,1,0,2,1,4,1
Mars2,6,1,2,6,10,1
Plcl1,6,10,7,25,36,4
Satb2,0,0,0,0,0,1
1700066M21Rik,2,1,4,2,2,1
Tyw5,4,3,7,7,12,1
9430016H08Rik,15,8,11,22,26,8
Spats2l,3,2,3,4,4,4
Kctd18,3,9,10,8,13,6
Sgol2a,0,0,0,1,0,1
Aox1,4,1,1,5,10,3
Aox3,0,0,0,0,4,0
Aox2,0,0,0,0,1,0
Bzw1,29,39,66,115,185,38
Clk1,134,102,192,267,580,73
Ppil3,6,12,9,21,33,5
Nif3l1,7,4,5,8,5,4
Orc2,8,9,11,19,24,4
Gm15834,0,0,0,1,0,0
Fam126b,17,20,22,28,59,4
Ndufb3,70,76,96,187,282,61
Als2cr12,0,0,0,1,0,0
Cflar,32,35,57,74,92,41
Casp8,16,13,27,53,61,10
Trak2,16,17,27,32,67,13
Stradb,6,6,7,12,15,3
Tmem237,15,12,15,31,34,14
G730003C15Rik,1,0,1,3,0,0
Mpp4,0,1,0,0,0,0
Als2,0,2,2,7,3,0
Cdk15,0,0,0,2,2,0
Fzd7,2,1,4,2,7,1
Gm973,0,0,0,1,0,1
Sumo1,74,60,84,153,216,51
Nop58,12,14,15,30,40,18
Bmpr2,137,162,178,322,503,61
Fam117b,25,31,40,45,83,13
Ica1l,4,12,4,4,10,2
Wdr12,8,5,9,17,27,4
Carf,4,7,4,11,11,1
Nbeal1,52,37,74,114,210,30
Cyp20a1,7,6,18,34,52,7
Abi2,9,11,21,33,45,10
Raph1,21,20,45,42,88,12
Cd28,1,0,9,0,0,0
Ctla4,0,0,2,0,0,0
Icos,0,0,5,0,1,0
Pard3b,4,7,7,18,24,7
Nrp2,10,12,29,51,40,12
Gm29083,0,0,0,0,1,0
Ino80d,19,21,27,45,65,10
Ino80dos,0,1,1,4,6,2
Gm20342,4,3,8,11,23,4
Ndufs1,10,12,24,44,53,8
Eef1b2,208,315,329,569,822,113
Gpr1,1,0,0,3,1,0
Zdbf2,0,0,0,0,2,0
Adam23,0,0,0,1,2,0
Fastkd2,0,0,4,6,8,4
Klf7,127,132,159,226,339,96
Gm26649,2,1,2,1,3,1
Creb1,21,30,31,56,72,18
Mettl21a,2,2,0,8,7,3
Ccnyl1,11,11,10,32,35,6
Fzd5,9,0,3,6,6,1
Plekhm3,5,2,5,13,16,1
D630023F18Rik,0,0,0,0,1,0
Idh1,7,9,15,20,34,2
Pikfyve,9,3,10,7,23,4
Map2,2,5,3,9,15,1
Unc80,0,1,0,0,0,0
Rpe,4,5,13,23,44,8
Kansl1l,13,25,24,61,44,15
Acadl,34,38,67,139,155,37
Myl1,0,0,0,1,0,0
Lancl1,9,8,10,23,35,8
