,0,1,2,3,4,5
Fhl2,0,0,0,2,1,0
Nck2,86,50,71,79,56,27
1500015O10Rik,37,38,61,11,10,0
Gm29155,2,1,0,0,1,0
Gm29156,0,0,0,0,1,0
Uxs1,158,111,161,225,188,86
Tpp2,138,162,146,217,190,120
Mettl21c,1,1,0,1,0,1
Gm8251,0,0,0,1,0,0
Tex30,84,60,77,120,88,47
Kdelc1,44,40,37,69,53,24
Bivm,33,30,39,57,27,20
Ercc5,106,108,106,178,145,88
Gulp1,1,1,1,1,1,0
Col5a2,0,1,0,0,1,0
Wdr75,83,71,86,109,106,56
Slc40a1,6,6,12,18,18,6
Dnah7b,4,1,0,4,3,0
Slc39a10,51,63,65,74,63,34
Gm28151,13,12,16,29,11,8
Gm28321,0,0,0,1,0,0
Tmeff2,2876,2000,2760,4340,3036,1615
Gm28322,116,149,185,346,199,151
Gm29325,39,40,50,84,86,20
9330175M20Rik,2,3,7,4,8,0
Sdpr,76,75,120,159,174,70
Nabp1,54,27,31,60,63,14
Myo1b,11,2,7,9,10,5
Stat4,1,0,0,0,0,0
Stat1,127,96,136,180,129,114
Gls,304,232,234,427,323,122
Nab1,309,225,285,387,314,164
Tmem194b,20,22,25,59,32,12
Mfsd6,699,651,631,950,724,600
Inpp1,76,57,64,149,80,56
Hibch,155,116,137,261,153,96
1700019D03Rik,62,62,70,70,77,52
Mstn,0,0,0,0,1,0
1700019A02Rik,0,0,0,0,1,0
Pms1,71,61,73,94,73,33
Gm28777,0,1,0,0,0,0
Ormdl1,167,151,150,203,160,105
Osgepl1,57,60,65,110,90,49
Gm28551,0,2,1,1,2,0
Asnsd1,131,77,121,147,131,73
Dnah7a,1,0,0,2,0,0
Stk17b,50,41,47,45,63,31
Hecw2,305,436,289,567,361,285
Ccdc150,1,2,0,0,0,0
Gtf3c3,117,96,93,157,107,72
Pgap1,229,225,236,406,295,108
Ankrd44,182,133,140,271,179,108
Sf3b1,1170,1068,1108,1984,1320,949
Coq10b,137,113,132,263,225,88
