,0,1,2,3,4,5
Gm28151,0,2,3,3,0,3
Tmeff2,9,12,13,27,6,4
Gm28322,2,0,0,2,1,0
Gm29325,0,0,0,1,0,0
Sdpr,0,1,2,0,0,0
Nabp1,1,7,7,7,1,4
Myo1b,1,12,0,15,14,3
Stat4,0,1,0,0,0,0
Stat1,8,5,2,7,5,3
Gls,38,106,48,118,60,15
Nab1,5,26,5,20,18,6
Tmem194b,4,9,1,7,2,2
Mfsd6,13,25,4,41,22,14
Inpp1,3,12,5,16,12,5
Hibch,2,7,1,10,3,1
1700019D03Rik,0,6,1,12,4,0
Mstn,0,0,0,1,0,0
Pms1,3,3,2,7,6,0
Ormdl1,1,7,2,16,6,7
Osgepl1,7,5,2,14,10,4
Asnsd1,3,6,0,14,13,3
Dnah7a,0,0,1,2,5,3
Stk17b,12,5,0,9,4,9
Hecw2,6,6,4,6,4,3
Gtf3c3,8,19,0,13,8,2
Pgap1,12,19,5,68,14,1
Ankrd44,5,8,10,20,16,15
Sf3b1,73,157,19,236,121,35
Coq10b,5,27,3,34,25,7
Hspd1,42,83,22,155,57,19
Hspe1,44,119,31,199,111,18
Mob4,27,58,8,80,37,22
Rftn2,4,24,0,15,17,1
Gm10561,0,1,0,6,10,2
Mars2,6,6,4,10,6,0
Plcl1,8,16,4,28,10,3
Satb2,5,10,6,1,4,0
4930558J18Rik,1,0,0,2,0,0
1700066M21Rik,2,5,4,11,10,3
Tyw5,4,8,0,9,8,1
9430016H08Rik,2,13,4,23,8,2
Spats2l,9,1,5,10,6,5
Kctd18,0,4,2,16,9,2
Sgol2a,19,18,1,26,12,3
Aox1,1,0,1,1,1,0
Aox4,0,0,1,2,0,0
Bzw1,27,90,18,120,59,23
Clk1,50,78,14,129,99,38
Ppil3,5,10,3,16,11,1
Nif3l1,0,9,2,13,10,7
Orc2,2,16,1,22,10,3
Gm15834,0,1,0,3,0,1
Fam126b,19,44,19,46,35,10
Ndufb3,50,97,19,106,71,21
Cflar,3,16,4,27,22,7
Casp8,2,7,0,5,4,9
Trak2,7,21,5,21,6,4
Stradb,2,7,4,15,12,5
Tmem237,8,20,8,37,16,6
G730003C15Rik,0,2,0,1,1,0
Mpp4,0,1,0,0,1,0
Als2,5,3,0,9,1,3
Fzd7,0,2,0,2,2,0
Sumo1,47,113,18,181,64,21
Nop58,9,52,8,77,43,18
Bmpr2,25,49,13,64,33,6
Fam117b,13,27,9,30,7,5
Ica1l,1,3,4,8,6,2
Wdr12,5,15,1,37,12,8
Carf,4,6,6,13,9,2
Nbeal1,3,29,7,40,18,6
Cyp20a1,0,7,1,19,7,8
Abi2,24,81,27,70,48,17
Raph1,27,63,13,51,47,7
Cd28,1,0,0,0,0,0
Pard3b,0,0,1,12,3,0
Nrp2,4,7,2,30,3,8
Gm29083,0,1,0,1,0,0
Ino80d,21,29,10,35,31,7
Ino80dos,2,3,0,3,0,0
Gm20342,4,10,2,12,8,2
Ndufs1,19,37,14,41,23,9
Eef1b2,56,273,29,450,186,62
Gpr1,0,0,0,1,0,0
Zdbf2,8,15,11,27,20,5
Adam23,10,26,9,27,12,3
Dytn,0,0,0,1,0,0
Fastkd2,2,9,0,6,6,0
Klf7,34,144,20,145,93,23
Gm26649,0,5,1,4,3,1
Creb1,9,48,7,41,22,8
Mettl21a,3,4,1,10,1,2
Ccnyl1,2,1,0,2,2,0
Fzd5,3,0,0,2,0,1
Plekhm3,6,18,8,14,12,3
D630023F18Rik,5,2,2,2,0,0
Idh1,13,38,3,55,28,8
Pikfyve,5,17,10,19,14,5
Pth2r,0,0,0,0,1,0
Map2,66,173,62,263,94,31
Gm10558,0,0,0,2,0,0
Unc80,26,52,33,45,38,20
Rpe,6,7,2,22,7,2
Kansl1l,7,23,2,30,15,4
Acadl,5,11,2,7,12,12
Myl1,1,0,2,0,2,0
Lancl1,19,25,19,37,19,3
Erbb4,7,31,1,7,15,1
Ikzf2,7,13,6,14,7,8
Vwc2l,3,2,0,0,1,7
Bard1,2,3,1,8,3,2
Atic,4,14,3,27,11,4
Fn1,1,1,0,2,5,0
Apol7d,0,0,0,0,1,0
Mreg,1,1,1,2,0,0
D230017M19Rik,3,6,1,11,7,1
Pecr,1,2,4,14,2,2
Tmem169,3,9,1,4,7,0
Xrcc5,2,10,0,15,11,5
March4,3,3,2,8,0,1
Smarcal1,4,8,3,15,11,1
Rpl37a,228,807,92,850,621,236
Igfbp2,0,4,0,2,1,1
Igfbp5,24,54,26,14,10,4
6030407O03Rik,0,0,1,1,0,0
Tns1,0,1,0,3,0,0
Arpc2,37,123,40,132,86,51
Aamp,32,39,21,85,53,15
Pnkd,9,46,16,35,18,10
Tmbim1,11,8,2,11,4,7
Catip,0,1,0,2,1,0
Slc11a1,0,6,0,1,4,0
Ctdsp1,2,6,2,5,6,1
Vil1,0,0,0,0,1,0
Usp37,16,22,7,14,15,6
Rqcd1,3,12,5,17,9,4
Plcd4,0,0,0,1,3,0
Zfp142,4,5,1,20,6,4
Bcs1l,3,5,1,7,3,2
Rnf25,4,6,2,16,9,2
Stk36,1,2,1,4,1,0
Ttll4,2,8,3,12,11,1
Cyp27a1,0,0,0,4,0,2
Prkag3,0,0,0,0,1,0
Wnt10a,0,1,1,0,0,0
Cdk5r2,13,19,12,12,9,6
Ccdc108,2,1,0,2,0,0
Ihh,0,0,1,0,0,0
Nhej1,0,0,0,3,0,0
Cnppd1,2,9,2,25,12,7
Fam134a,13,38,18,62,26,19
Zfand2b,8,11,5,20,11,4
Abcb6,1,4,3,4,3,0
Atg9a,6,12,5,18,7,9
Ankzf1,2,5,1,11,9,2
Glb1l,0,2,2,7,3,1
Stk16,7,24,5,36,17,5
Tuba4a,28,47,22,34,18,10
Dnajb2,13,9,5,33,22,3
Ptprn,26,75,36,72,53,14
Resp18,25,30,10,33,8,1
Dnpep,3,25,6,31,10,6
Speg,5,13,9,9,8,4
Gmppa,2,7,2,8,7,2
Asic4,0,0,1,0,0,0
Chpf,5,21,7,19,10,2
Obsl1,2,6,2,3,2,0
Tmem198,9,10,7,20,12,4
Inha,3,6,5,4,3,1
Stk11ip,0,1,1,6,3,1
Slc4a3,9,14,9,35,12,6
Epha4,42,120,53,213,49,4
Gm28386,0,0,0,1,0,0
Sgpp2,2,5,1,0,0,0
Farsb,5,22,8,32,15,9
Acsl3,15,37,6,40,15,5
Utp14b,7,6,0,9,8,2
Kcne4,0,0,0,0,1,0
Scg2,13,23,17,60,20,1
Ap1s3,0,0,1,2,1,0
Wdfy1,7,14,4,48,13,1
Mrpl44,5,13,4,18,15,4
Serpine2,27,17,10,19,14,14
Cul3,33,71,18,91,33,5
Dock10,3,5,3,30,16,16
Nyap2,1,1,7,9,2,1
Irs1,3,10,5,16,6,2
Rhbdd1,0,0,0,1,1,1
Col4a4,0,0,0,1,0,0
Mff,36,69,32,87,32,20
Tm4sf20,0,0,0,1,0,0
Agfg1,11,33,10,36,16,5
Daw1,0,2,0,0,0,0
Sphkap,18,28,22,51,20,4
Pid1,10,10,6,15,12,13
Dner,22,13,8,36,13,9
Trip12,21,44,15,70,28,7
Fbxo36,2,2,0,4,1,0
Slc16a14,1,4,1,3,2,1
C130026I21Rik,0,0,0,2,0,0
A530032D15Rik,0,0,0,0,1,0
Sp110,2,4,0,0,1,4
Sp140,0,2,0,1,0,2
Sp100,1,0,0,1,0,0
A630001G21Rik,1,0,0,2,3,4
Cab39,23,53,12,77,31,17
Itm2c,73,123,82,204,122,67
4933407L21Rik,0,3,0,1,0,1
2810459M11Rik,1,0,1,7,1,3
Psmd1,21,47,7,58,34,17
Armc9,5,4,1,17,4,0
B3gnt7,0,0,0,0,1,0
Ncl,64,128,24,238,141,42
Ptma,467,1705,139,2357,1204,445
Pde6d,13,17,7,39,21,5
Cops7b,2,8,2,12,6,0
Nppc,8,9,7,18,7,0
Dis3l2,5,11,5,10,10,4
Gm28375,0,0,1,0,0,0
Ecel1,16,4,9,11,9,5
Prss56,0,0,0,1,0,0
Chrng,0,1,1,0,0,0
Eif4e2,8,37,2,31,26,13
Efhd1,2,2,1,4,4,2
Gigyf2,16,31,14,39,28,10
Kcnj13,0,1,0,2,1,0
Ngef,4,9,5,7,5,5
Inpp5d,2,4,0,17,8,16
Atg16l1,4,15,8,19,14,5
Sag,2,4,2,3,6,1
Dgkd,8,18,4,23,14,5
Usp40,14,16,10,20,12,1
Dnajb3,0,2,0,3,3,1
Mroh2a,0,0,1,0,0,0
Hjurp,47,79,25,81,45,10
Glrp1,0,0,0,2,1,0
Arl4c,23,66,4,111,58,26
Sh3bp4,12,8,5,10,6,0
Agap1,13,25,16,50,21,7
Iqca,0,0,0,0,1,0
Ackr3,4,2,0,6,4,0
Gm28723,0,1,0,0,0,0
Cops8,13,54,22,61,38,10
Col6a3,0,1,0,0,1,1
Mlph,0,1,0,5,6,5
Lrrfip1,6,18,5,28,8,9
Rbm44,0,0,0,0,0,1
Ramp1,59,41,34,192,83,24
Ube2f,7,18,7,22,15,5
Scly,1,1,0,3,1,3
Fam132b,0,1,0,0,0,0
Ilkap,20,35,10,59,21,14
Hes6,12,72,4,79,50,7
Per2,1,8,2,7,1,2
Traf3ip1,1,2,0,8,3,1
Asb1,3,14,4,13,5,2
Gm29100,0,0,1,0,1,0
Twist2,0,1,0,0,0,0
Hdac4,7,20,14,24,15,5
Gm26720,0,2,1,0,0,0
Ndufa10,29,68,23,71,48,22
Myeov2,35,87,23,89,65,28
Otos,2,0,3,3,1,0
Gm29483,1,0,0,1,0,1
Gpc1,21,32,15,46,32,3
Dusp28,3,6,1,10,5,1
5033417F24Rik,1,1,0,1,1,1
Rnpepl1,4,12,4,11,15,3
9430060I03Rik,1,3,1,3,0,1
Capn10,4,13,4,16,16,2
Kif1a,40,107,49,114,73,32
Crocc2,1,0,0,0,0,0
Sned1,0,0,0,0,0,1
Mterf4,2,15,2,13,7,4
Pask,2,4,0,8,3,1
Ppp1r7,12,31,11,24,22,8
Hdlbp,7,19,6,41,15,22
Sept2,20,40,11,64,28,8
Farp2,0,4,0,5,2,0
Stk25,12,52,16,61,30,14
Bok,15,46,6,41,20,8
Thap4,1,8,6,18,4,0
Atg4b,0,14,6,21,11,5
Dtymk,13,57,5,77,33,9
Ing5,5,14,0,10,5,1
D2hgdh,4,3,4,3,2,1
Neu4,5,1,4,0,0,0
Pdcd1,0,2,0,1,0,0
Fam174a,16,25,8,31,9,8
St8sia4,10,13,1,32,16,3
Panct2,0,1,0,1,0,0
D1Ertd622e,7,17,2,14,12,5
Ppip5k2,5,16,1,29,12,3
Gin1,12,16,2,25,8,2
Pam,17,28,18,23,11,2
Gm7967,0,0,0,0,0,1
Cntnap5b,0,0,0,1,0,0
Cdh20,1,4,0,6,3,0
Rnf152,4,15,16,39,2,1
Pign,4,11,1,15,4,0
2310035C23Rik,13,20,9,34,25,8
Tnfrsf11a,1,1,0,0,0,2
Gm7160,1,0,0,3,0,0
Zcchc2,4,4,2,7,4,1
Gm20753,0,0,0,1,0,0
Phlpp1,11,11,5,20,11,6
Bcl2,8,12,3,11,10,4
Kdsr,13,15,8,29,26,3
Vps4b,11,25,7,33,30,10
Serpinb8,1,0,1,1,0,0
Cdh7,3,2,7,2,2,1
Cdh19,1,0,0,2,1,1
Dsel,1,5,3,6,5,1
Cntnap5a,4,0,6,20,7,1
Tsn,51,139,24,209,94,39
Nifk,5,22,3,38,19,3
Clasp1,12,62,17,64,39,11
2900060B14Rik,1,3,0,14,6,3
Gli2,0,3,0,1,0,0
Gm29455,3,1,0,0,0,0
Inhbb,1,3,6,5,4,0
Ralb,2,11,2,11,5,4
Gm27184,0,0,0,1,0,0
Tmem185b,2,6,2,9,3,3
3830432H09Rik,0,1,0,0,0,0
Epb41l5,3,6,0,10,3,4
Ptpn4,15,24,10,29,12,3
Tmem177,1,0,0,12,3,2
Sctr,0,0,0,0,2,1
Tmem37,1,1,0,8,4,11
Dbi,106,157,19,215,151,27
3110009E18Rik,1,8,1,7,9,2
Steap3,2,0,0,0,0,1
C1ql2,17,0,18,48,1,0
Insig2,13,21,8,29,15,3
Ccdc93,1,4,2,16,0,5
Htr5b,1,1,1,0,0,0
Ddx18,8,20,5,48,26,6
Dpp10,9,16,4,2,3,0
Gm28928,0,1,0,0,0,0
