,0,1,2,3,4,5
Nck2,1,0,0,1,2,0
1500015O10Rik,45,44,100,4,21,1
Gm29155,2,0,2,1,0,1
Gm29157,0,0,0,1,0,0
Gm29156,1,0,0,0,1,1
Uxs1,140,106,192,186,249,259
Tpp2,610,462,694,880,1212,869
Mettl21c,13,12,13,22,20,0
Gm8251,3,5,4,4,1,4
Tex30,227,160,161,306,342,197
Kdelc1,62,36,61,84,108,81
Bivm,34,24,41,45,52,59
Ercc5,241,175,246,274,417,245
Gulp1,2,0,1,0,0,1
Col5a2,0,1,0,1,0,0
Wdr75,144,86,180,167,212,169
Gm5269,3,2,6,4,2,2
Slc40a1,595,283,654,542,928,561
Dnah7b,0,0,0,1,3,1
Dnah7c,0,0,0,1,0,0
Slc39a10,141,140,194,177,134,233
Gm28151,12,4,5,14,11,8
4933411E06Rik,1,0,0,0,0,0
Tmeff2,21,14,29,37,87,10
Gm28322,0,0,0,2,1,0
Gm29325,0,0,1,0,1,0
Sdpr,4,1,2,1,10,0
Nabp1,408,251,356,743,565,423
Myo1b,289,193,311,309,438,337
Stat4,2,0,0,0,0,0
Stat1,225,174,250,284,357,593
Gls,1283,847,1379,1843,1937,967
Nab1,233,217,266,341,313,365
Gm553,0,0,0,1,0,1
Tmem194b,47,32,52,71,88,59
Mfsd6,4,6,10,9,25,18
Inpp1,78,53,125,99,169,82
Hibch,126,100,161,171,188,152
1700019D03Rik,5,3,17,4,19,8
Pms1,36,19,41,44,56,53
Ormdl1,267,175,294,321,408,332
Osgepl1,61,39,69,90,124,81
Gm28551,0,0,2,0,2,0
Asnsd1,180,141,230,278,300,316
Dnah7a,1,3,2,1,3,0
Stk17b,1072,1001,1164,1073,1472,1363
Hecw2,2,6,1,3,9,3
Ccdc150,0,0,0,0,5,0
Gtf3c3,84,50,85,103,142,106
Pgap1,36,39,45,49,81,67
Ankrd44,1015,710,1150,993,1594,1236
4930444A19Rik,0,0,0,0,1,0
Sf3b1,2392,1760,2958,3219,3690,3084
Coq10b,872,853,1011,1430,1367,1125
Hspd1,882,763,1093,1177,1287,1546
Hspe1,2274,2083,2880,2782,3088,3701
Mob4,642,475,822,896,1144,977
Rftn2,8,5,10,15,14,11
Gm10561,2,3,6,5,3,1
Mars2,10,9,19,31,29,26
Boll,0,0,1,3,1,0
Plcl1,219,161,219,298,346,236
Satb2,6,1,3,6,6,4
1700066M21Rik,25,20,39,37,56,30
Tyw5,76,44,70,70,95,59
9430016H08Rik,140,128,191,197,234,201
Spats2l,2,2,1,2,5,1
Kctd18,61,33,55,81,102,86
Sgol2a,1,1,1,1,2,1
Aox1,1,0,1,1,4,1
Aox2,1,0,0,0,0,0
Bzw1,1321,986,1699,1930,2230,1791
Clk1,3289,1967,3885,4608,6120,4756
Ppil3,147,142,139,199,241,246
Nif3l1,46,32,52,88,90,105
