,0,1,2,3,4,5
Tpp2,44,116,94,30,40,42
Mettl21c,1,1,0,1,0,0
Gm8251,0,0,0,3,0,0
Tex30,41,42,39,11,16,13
Kdelc1,6,39,23,6,10,9
Bivm,10,21,29,10,17,6
Ercc5,25,60,44,20,23,18
Gulp1,36,52,92,13,20,30
Col3a1,2,0,5,2,1,4
Col5a2,4,34,15,19,20,16
Wdr75,15,52,39,8,15,20
Slc40a1,5,82,12,6,33,12
Dnah7b,20,117,54,34,68,46
Dnah7c,1,33,24,14,28,9
Slc39a10,15,35,52,11,13,13
Gm28151,2,25,3,9,9,2
4933411E06Rik,0,0,0,0,1,0
Tmeff2,21,22,33,33,20,25
Gm28322,1,3,0,0,0,0
Gm29325,0,1,0,0,0,0
9330175M20Rik,0,0,0,0,1,0
Sdpr,71,109,153,36,36,55
1700072G22Rik,1,0,0,1,0,0
Nabp1,21,134,41,32,19,28
Gm17767,0,0,0,1,0,0
Myo1b,3,1,8,4,3,1
Stat4,0,16,1,0,4,3
Stat1,18,128,69,34,36,45
Gls,87,156,158,35,60,24
Nab1,69,193,111,57,65,78
Gm553,0,2,0,0,1,0
Tmem194b,1,7,3,3,6,3
Mfsd6,18,90,36,11,19,25
Inpp1,24,69,61,9,9,15
Hibch,45,103,95,14,11,29
1700019D03Rik,7,34,18,12,17,14
Pms1,7,10,7,4,6,5
Ormdl1,36,69,84,12,10,18
Osgepl1,21,49,32,9,8,15
Gm28551,0,1,0,0,0,1
Asnsd1,49,247,87,22,29,69
Dnah7a,21,141,42,38,47,35
Stk17b,72,719,100,75,165,110
Hecw2,5,30,22,6,7,9
Ccdc150,4,14,3,5,7,5
Gtf3c3,19,43,51,15,16,16
Pgap1,4,18,8,8,4,6
Ankrd44,70,398,137,142,166,115
Sf3b1,199,719,413,158,221,189
Coq10b,80,283,165,77,113,64
Hspd1,325,984,748,207,230,252
Hspe1,830,2407,1675,489,488,719
Mob4,139,351,303,54,72,95
Rftn2,2,13,10,12,7,13
Gm10561,2,11,6,8,2,2
Mars2,3,12,8,3,4,1
Plcl1,70,94,182,20,12,44
9130227L01Rik,0,1,0,0,0,0
Satb2,0,3,0,0,1,0
1700066M21Rik,8,20,21,3,10,6
Tyw5,19,43,30,7,10,13
9430016H08Rik,42,101,77,20,23,31
Spats2l,56,126,146,39,49,51
Gm17234,0,0,0,0,1,0
Kctd18,8,30,13,12,11,8
Sgol2a,6,16,4,0,5,2
Aox1,28,89,60,19,21,18
Aox3,0,0,4,5,3,0
Bzw1,162,419,377,130,198,127
Clk1,74,452,156,88,186,111
Ppil3,32,73,62,27,37,35
Nif3l1,8,23,31,12,3,13
Orc2,26,50,43,16,28,21
Gm15834,1,8,3,1,2,0
Fam126b,29,150,89,41,67,41
Ndufb3,721,1349,1366,219,332,339
Als2cr12,5,11,6,9,18,5
Cflar,75,250,164,60,69,62
Casp8,38,85,70,14,23,43
Trak2,11,56,45,5,6,19
Stradb,19,60,38,13,18,14
Tmem237,613,795,1310,82,84,152
G730003C15Rik,5,23,12,7,9,10
Mpp4,0,3,4,0,1,0
Als2,3,7,12,1,5,2
Cdk15,0,4,4,0,2,1
Fzd7,23,20,44,10,9,5
Gm973,40,401,171,150,208,125
Gm28411,0,1,0,0,1,1
Sumo1,443,919,776,156,175,309
Nop58,46,127,79,30,42,38
Bmpr2,31,118,126,39,44,33
Fam117b,12,93,33,17,25,25
Ica1l,0,7,0,2,6,2
Wdr12,12,62,36,14,17,22
Carf,10,34,16,5,18,10
Nbeal1,76,236,189,84,103,77
Cyp20a1,30,78,70,15,27,29
Abi2,35,105,93,26,29,27
Raph1,7,30,16,12,13,10
Cd28,0,2,0,0,0,1
Icos,0,0,1,0,0,0
Gm28449,0,0,0,1,1,0
Pard3b,5,61,25,11,19,18
Nrp2,3,75,55,28,32,21
