,0,1,2,3,4,5
Gm28151,4,3,7,2,2,1
Tmeff2,107,50,124,401,190,95
Gm28322,0,0,1,0,0,0
Gm29325,2,1,1,10,2,1
9330175M20Rik,1,0,0,1,0,0
Sdpr,1,2,4,3,6,1
Nabp1,4,4,7,9,7,4
Myo1b,8,6,7,10,5,4
Stat1,26,22,48,29,30,68
Gls,81,57,114,122,98,51
Nab1,16,15,30,37,20,26
Gm553,0,0,1,0,0,0
Tmem194b,11,4,8,6,13,7
Mfsd6,49,41,68,64,46,62
Inpp1,12,15,35,17,19,25
Hibch,19,18,25,35,30,24
1700019D03Rik,21,20,42,31,38,28
1700019A02Rik,0,1,0,0,0,0
Pms1,13,8,14,12,16,7
Ormdl1,22,14,28,42,36,25
Osgepl1,19,4,24,24,23,13
Gm28551,0,0,2,1,1,0
Asnsd1,14,6,33,18,25,25
Dnah7a,2,3,5,0,0,2
Stk17b,1,5,9,12,13,8
Hecw2,26,15,27,22,31,18
Ccdc150,0,0,0,1,0,0
Gtf3c3,24,18,22,26,33,23
Pgap1,45,24,49,52,54,32
Ankrd44,30,27,86,91,90,69
4930444A19Rik,0,0,0,0,1,0
Sf3b1,172,125,267,243,256,193
Coq10b,59,27,98,94,112,47
Hspd1,112,55,166,143,141,129
Hspe1,201,120,338,304,275,267
Mob4,72,58,117,109,95,97
Rftn2,55,40,88,61,83,71
Gm10561,4,6,10,5,13,17
Mars2,11,7,17,18,25,9
Boll,0,0,1,0,0,1
Plcl1,21,14,21,88,42,14
Satb2,0,0,1,0,0,0
1700066M21Rik,45,19,52,54,58,55
Tyw5,22,12,38,22,37,15
9430016H08Rik,21,12,36,29,41,22
Spats2l,52,44,75,54,67,57
Kctd18,11,14,18,23,24,16
Sgol2a,3,2,1,3,0,2
Aox1,1,3,3,1,1,2
Bzw1,109,61,153,172,153,111
Clk1,204,101,260,296,300,182
Ppil3,15,11,14,28,32,33
Nif3l1,19,10,27,21,23,21
Orc2,18,12,34,27,28,16
Gm15834,0,0,0,2,0,1
Fam126b,51,35,78,66,73,49
Ndufb3,142,115,210,166,161,136
Cflar,13,21,28,24,35,24
Casp8,2,6,0,7,8,3
Trak2,9,4,15,17,13,9
Stradb,19,7,22,24,16,14
Tmem237,21,21,44,46,49,36
G730003C15Rik,1,0,1,3,0,2
Mpp4,0,0,0,0,0,1
Als2,2,2,7,4,7,3
Fzd7,5,10,2,3,5,5
Gm973,0,0,0,0,2,1
Sumo1,100,56,146,134,129,132
Nop58,35,25,56,55,55,42
Bmpr2,96,59,137,98,111,71
Fam117b,35,30,47,39,48,36
Ica1l,6,2,9,6,9,2
Wdr12,31,22,43,38,36,32
Carf,20,18,24,27,22,19
Nbeal1,47,25,77,65,64,44
Cyp20a1,19,17,30,57,40,46
Abi2,131,80,185,129,145,110
Raph1,89,40,108,105,115,96
Cd28,0,0,0,0,0,1
Icos,0,0,1,0,0,0
Pard3b,7,5,7,4,4,2
Nrp2,25,23,36,35,32,29
Gm29083,3,6,6,4,2,7
Ino80d,70,32,102,69,99,52
Ino80dos,10,9,15,21,8,3
