,0,1,2,3,4,5
Gls,28,30,54,32,53,12
Nab1,31,25,40,24,36,18
Tmem194b,4,4,1,7,8,2
Mfsd6,6,4,5,3,12,3
Inpp1,25,34,37,39,41,31
Hibch,68,58,96,59,79,44
1700019D03Rik,20,25,47,20,40,25
Mstn,0,1,0,0,0,0
Pms1,8,6,7,5,10,5
Ormdl1,17,28,33,33,27,12
Osgepl1,10,16,30,22,29,13
Gm28551,0,0,0,1,0,0
Asnsd1,17,17,29,15,17,15
Dnah7a,1,7,3,0,3,5
Stk17b,53,39,51,33,51,29
Hecw2,1,3,2,3,3,0
Gtf3c3,29,18,28,19,26,15
Pgap1,25,25,22,17,31,14
Ankrd44,4,3,10,4,11,1
Sf3b1,147,192,204,165,250,144
Coq10b,83,80,119,75,86,67
Hspd1,173,156,188,149,174,99
Hspe1,392,441,470,344,452,232
Mob4,111,114,173,118,158,84
Rftn2,132,95,141,103,116,72
Gm10561,157,119,181,139,116,99
Mars2,24,23,23,20,21,9
Plcl1,26,43,35,46,36,20
BC055402,1,1,1,2,1,1
4930558J18Rik,1,0,0,1,0,0
1700066M21Rik,20,18,29,21,40,7
Tyw5,35,25,29,20,39,21
9430016H08Rik,42,41,50,44,57,26
Spats2l,3,14,12,11,12,6
Kctd18,21,16,25,13,22,11
Sgol2a,0,1,0,2,2,0
Aox1,34,26,40,40,54,22
Bzw1,105,112,131,128,146,75
Clk1,181,174,186,173,324,125
Ppil3,43,43,51,41,39,31
Nif3l1,14,21,16,14,9,5
Orc2,21,22,24,23,25,8
Gm15834,2,0,2,0,2,0
Fam126b,30,33,58,28,56,29
Ndufb3,317,367,410,271,419,183
Als2cr12,0,0,1,0,0,0
Cflar,52,59,94,65,76,42
Casp8,3,3,2,0,9,0
Trak2,20,15,19,17,26,4
Stradb,15,13,15,19,20,9
Tmem237,31,52,44,48,50,33
G730003C15Rik,0,3,4,4,5,4
Mpp4,1,1,1,0,0,0
Als2,4,9,5,6,9,4
Fzd7,17,18,18,23,18,6
Gm26813,0,0,0,0,0,1
Gm973,37,49,51,53,43,34
Gm28411,0,0,0,0,1,0
Sumo1,113,152,186,154,149,80
Nop58,26,27,24,21,34,16
Bmpr2,71,86,94,63,83,34
Fam117b,10,11,13,14,19,6
Ica1l,1,1,1,0,2,1
Wdr12,29,31,50,37,38,14
Carf,15,10,9,11,17,7
Nbeal1,62,79,102,76,100,63
Cyp20a1,71,62,88,96,83,48
Abi2,60,58,90,50,70,31
Raph1,15,15,19,15,12,13
Cd28,0,0,1,0,0,0
9530026F06Rik,0,0,1,0,0,0
Pard3b,15,18,12,13,18,6
Pard3bos1,0,0,1,0,0,0
Nrp2,3,6,4,3,6,4
Gm29083,4,0,1,2,0,0
Ino80d,41,51,49,48,91,25
Ino80dos,8,19,12,12,18,5
Gm20342,29,29,35,55,33,24
Ndufs1,131,147,123,110,153,64
Eef1b2,236,281,285,251,256,141
Zdbf2,3,5,6,2,12,4
Adam23,90,48,81,75,88,37
Fastkd2,17,12,18,7,14,10
4933402D24Rik,1,0,0,0,1,0
Klf7,93,82,156,126,181,50
Gm26649,0,1,2,0,0,0
Gm28981,1,0,1,1,1,0
Creb1,32,38,39,24,28,22
Mettl21a,18,39,41,28,34,30
Ccnyl1,7,9,7,3,6,2
Fzd5,10,2,8,5,6,10
Plekhm3,6,9,11,10,11,5
D630023F18Rik,1,0,0,1,0,0
Idh1,116,107,171,123,143,97
Pikfyve,23,44,37,26,47,21
Map2,196,178,210,143,169,109
Unc80,2,5,9,3,5,2
Rpe,21,38,41,19,28,13
Kansl1l,32,52,45,38,63,32
Acadl,208,260,278,277,303,166
Myl1,0,0,0,2,1,0
Lancl1,22,19,36,15,34,21
Erbb4,12,10,22,12,26,5
Ikzf2,40,63,48,33,50,21
Spag16,0,1,2,1,1,3
Bard1,0,2,2,0,2,0
Atic,32,39,52,49,42,31
Fn1,2,2,1,3,3,0
Mreg,0,1,0,1,1,0
D230017M19Rik,7,10,3,3,13,4
Pecr,9,8,13,13,20,4
Tmem169,1,0,2,1,2,0
Xrcc5,22,19,13,22,21,14
March4,1,0,0,0,0,0
Smarcal1,9,6,16,13,16,8
Rpl37a,835,834,1016,596,1097,394
Igfbp2,350,226,387,213,604,122
Igfbp5,101,83,181,70,63,61
1700027A15Rik,0,0,0,0,1,0
Pinc,1,0,0,0,0,0
6030407O03Rik,3,2,3,2,1,0
Tns1,24,32,41,18,46,16
Cxcr2,0,0,0,1,0,0
Arpc2,136,139,206,146,220,76
Aamp,173,208,203,186,204,138
Pnkd,209,224,300,220,336,171
Tmbim1,100,96,125,90,134,61
Catip,4,3,6,7,7,7
Slc11a1,5,2,2,5,19,1
Ctdsp1,45,55,61,35,51,34
Usp37,25,20,26,18,23,7
Rqcd1,15,12,16,12,13,7
Plcd4,157,171,199,150,145,131
Zfp142,11,19,19,18,19,14
Bcs1l,10,21,33,17,29,20
Rnf25,16,19,20,19,20,21
Stk36,3,6,5,5,9,3
Ttll4,12,18,24,10,35,6
Cyp27a1,6,7,8,7,18,12
Prkag3,0,0,0,0,2,2
Wnt6,1,0,1,0,3,1
Wnt10a,0,0,0,0,1,1
Cdk5r2,1,2,3,0,2,0
Ccdc108,1,0,1,1,1,0
Nhej1,3,2,5,7,5,3
Cnppd1,20,16,23,28,46,13
Fam134a,58,72,72,66,75,50
Zfand2b,24,26,43,22,33,32
Abcb6,17,18,17,12,10,10
Atg9a,40,64,55,40,60,36
Ankzf1,23,11,26,15,14,14
Glb1l,8,9,9,11,19,6
Stk16,76,79,67,53,79,56
Tuba4a,208,215,292,167,181,196
Dnajb2,91,71,121,74,96,55
Ptprn,3,1,8,6,5,1
Resp18,0,0,0,0,3,0
Dnpep,45,44,75,39,69,32
Des,0,0,0,1,1,0
Speg,13,15,34,20,26,12
Gmppa,20,19,24,20,23,20
Asic4,0,1,0,0,0,0
Chpf,44,26,57,29,42,23
Obsl1,7,6,2,5,4,3
Tmem198,8,4,4,1,8,5
Inha,1,0,3,0,3,0
Stk11ip,7,8,10,2,8,2
Slc4a3,20,20,34,20,40,22
Gm816,0,0,0,0,1,0
Epha4,34,22,56,28,39,15
Pax3,0,1,0,0,0,1
Sgpp2,0,0,0,0,1,1
Farsb,26,39,24,22,30,28
Mogat1,9,5,5,7,7,10
Acsl3,1501,1618,1637,927,1319,910
Utp14b,204,225,282,85,132,66
Scg2,6,1,1,0,0,0
Wdfy1,32,32,13,45,56,9
Mrpl44,33,27,49,33,36,15
Serpine2,836,1019,1009,810,986,627
Cul3,104,98,94,95,126,76
Dock10,16,14,11,19,31,9
Nyap2,0,0,0,0,1,0
Irs1,11,18,31,14,18,8
Rhbdd1,17,15,9,15,16,12
Col4a4,2,0,2,1,0,1
Mff,177,206,199,159,210,142
Tm4sf20,0,0,0,1,0,0
Agfg1,31,18,38,25,43,21
Slc19a3,0,0,0,0,1,0
Daw1,0,0,1,0,1,0
Sphkap,1,1,2,1,1,0
Pid1,69,84,99,68,109,49
Dner,86,89,80,79,112,46
