,0,1,2,3,4,5
Orc2,1,4,7,4,2,3
Fam126b,4,0,4,5,2,3
Ndufb3,13,37,67,60,39,36
Cflar,23,60,74,36,48,36
Casp8,12,22,34,28,12,23
Trak2,0,2,1,9,2,2
Stradb,2,2,1,2,1,4
Tmem237,1,1,2,5,3,0
G730003C15Rik,0,0,0,1,0,1
Als2,1,0,1,2,1,0
Fzd7,1,0,0,4,3,1
Sumo1,17,48,81,57,37,37
Nop58,6,24,26,17,7,20
Bmpr2,5,11,24,10,18,9
Fam117b,1,5,14,9,7,6
Ica1l,0,0,0,0,0,1
Wdr12,1,4,8,3,8,3
Carf,0,3,1,2,3,3
Nbeal1,5,10,25,13,18,6
Cyp20a1,2,8,13,25,11,7
Abi2,3,2,3,15,5,4
Raph1,6,14,19,23,11,13
Cd28,7,1,6,6,3,11
Icos,0,0,0,0,4,0
Pard3b,1,2,0,1,1,0
Nrp2,3,6,13,27,6,5
Ino80d,2,11,12,15,6,11
Ino80dos,0,0,0,0,1,0
Gm20342,1,0,3,2,2,0
Ndufs1,2,4,12,5,5,8
Eef1b2,87,215,296,185,169,179
Adam23,0,1,0,0,0,2
Fastkd2,0,8,3,6,3,3
Klf7,6,16,33,28,16,26
Gm26649,0,0,1,0,1,0
Creb1,4,8,17,13,9,19
Mettl21a,2,3,4,6,8,2
Ccnyl1,0,1,2,5,1,0
Fzd5,2,1,2,2,0,1
Plekhm3,3,4,7,4,9,4
D630023F18Rik,0,0,0,1,0,0
Idh1,3,17,21,17,13,12
Pikfyve,2,5,11,6,10,5
Map2,0,0,1,1,0,0
Unc80,0,0,0,1,0,0
Rpe,3,3,4,4,5,7
Kansl1l,5,16,27,20,18,14
Acadl,7,6,19,15,8,16
Lancl1,6,7,3,3,5,8
Ikzf2,1,0,2,3,4,2
Atic,2,3,5,11,7,6
Fn1,0,0,0,0,2,0
Mreg,0,0,0,1,0,0
D230017M19Rik,1,1,0,2,1,1
Pecr,2,3,3,2,3,1
Tmem169,0,1,0,0,0,0
Xrcc5,1,1,1,0,0,0
March4,0,1,0,0,0,0
Smarcal1,1,7,4,4,2,2
Rpl37a,332,758,1287,492,810,826
Igfbp2,0,1,2,4,2,3
Igfbp5,0,0,0,1,1,0
Tns1,5,2,3,4,5,2
Cxcr2,0,0,0,0,1,0
Arpc2,93,224,347,258,154,211
Aamp,13,15,53,36,40,24
Pnkd,6,8,23,23,22,9
Tmbim1,21,44,47,20,26,28
Catip,0,2,4,2,4,4
Slc11a1,16,41,78,52,33,36
Ctdsp1,10,10,22,8,11,8
Usp37,2,7,8,6,5,3
Rqcd1,0,0,6,2,2,4
Zfp142,1,0,1,2,3,3
Bcs1l,1,1,6,2,2,3
Rnf25,2,1,2,3,2,0
Ttll4,0,1,0,0,2,2
Cyp27a1,14,15,31,22,10,22
Cdk5r2,1,0,0,1,0,0
Ccdc108,0,1,0,0,0,0
Nhej1,0,1,1,1,2,0
Cnppd1,4,6,16,16,17,17
Fam134a,4,8,18,15,11,12
Zfand2b,2,5,7,9,5,12
