,0,1,2,3,4,5
Stradb,1,1,3,3,2,2
Tmem237,0,1,4,3,1,0
G730003C15Rik,0,0,0,0,0,2
Als2,0,1,0,0,2,0
Fzd7,0,0,0,2,0,0
Gm973,0,1,0,0,0,0
Sumo1,36,32,66,48,29,55
Nop58,9,11,24,14,15,15
Bmpr2,1,2,2,1,3,0
Fam117b,6,7,10,10,4,7
Wdr12,5,2,4,2,7,4
Carf,1,1,2,2,4,0
Nbeal1,4,6,4,9,1,3
Cyp20a1,0,3,7,3,2,4
Abi2,0,3,4,1,2,0
Raph1,6,5,6,2,5,4
Cd28,34,61,110,77,75,93
Gm11579,0,1,0,0,1,0
Ctla4,22,19,33,27,31,18
Icos,47,58,63,65,44,78
Pard3b,0,0,0,0,1,1
Nrp2,1,0,1,0,1,0
Gm4208,0,0,0,0,1,0
Ino80d,5,8,7,9,11,3
Gm20342,2,1,1,2,0,4
Ndufs1,4,5,11,4,7,3
Eef1b2,327,423,721,375,423,341
Zdbf2,0,0,0,0,1,0
Fastkd2,0,0,3,1,3,1
Klf7,4,3,5,8,10,5
Creb1,11,13,12,11,9,8
Mettl21a,0,1,3,3,0,3
Ccnyl1,1,0,2,0,2,1
Fzd5,1,2,2,2,1,1
Plekhm3,3,1,4,2,5,4
Idh1,1,1,2,2,3,1
Pikfyve,2,0,0,3,5,3
Rpe,1,5,4,3,3,5
Kansl1l,0,5,6,5,3,7
Acadl,13,14,25,13,24,15
Lancl1,0,4,5,1,3,9
Erbb4,0,0,2,0,0,0
Ikzf2,0,42,8,19,20,1
Bard1,0,2,0,0,0,0
Atic,4,8,10,5,5,5
Fn1,0,0,0,0,1,0
Mreg,7,0,0,0,0,0
D230017M19Rik,0,1,0,0,0,1
Pecr,0,0,3,4,3,2
Xrcc5,2,5,7,4,3,2
Smarcal1,1,0,3,0,1,0
Rpl37a,1234,1306,2904,920,1751,1621
Igfbp2,0,0,1,0,0,0
Tns1,0,0,0,1,2,0
Arpc2,96,92,190,142,124,122
Aamp,8,9,23,26,17,16
Pnkd,6,7,21,13,10,15
Tmbim1,1,2,5,2,4,3
Catip,0,0,0,1,0,0
Slc11a1,0,0,3,6,3,2
Ctdsp1,6,4,11,8,7,21
Usp37,2,6,3,3,2,2
Rqcd1,0,2,3,2,0,2
Plcd4,0,1,0,0,0,0
Zfp142,1,2,3,5,2,3
Bcs1l,1,2,3,1,6,1
Rnf25,0,2,3,0,0,2
Ttll4,1,0,2,0,3,2
Cyp27a1,0,0,0,2,1,1
Cdk5r2,0,0,0,0,1,0
Ccdc108,0,0,1,0,0,0
Nhej1,3,2,3,0,2,1
Cnppd1,2,11,19,5,6,15
Fam134a,4,9,10,4,7,16
Zfand2b,4,5,7,9,2,5
Abcb6,0,0,0,0,2,1
Atg9a,1,3,1,3,0,2
Ankzf1,3,5,3,1,2,2
Glb1l,1,0,1,0,0,1
Stk16,4,9,13,5,4,3
Tuba4a,13,16,56,31,21,28
Dnajb2,3,5,9,4,4,6
Dnpep,4,6,7,5,7,2
Speg,0,0,0,0,2,0
Gmppa,1,2,3,4,3,3
Chpf,1,1,4,0,3,1
Obsl1,0,1,0,0,0,0
Tmem198,0,0,0,1,0,0
Inha,0,0,1,0,0,0
Stk11ip,0,0,0,2,0,1
Slc4a3,0,0,0,0,0,1
Epha4,0,1,0,0,2,0
Farsb,3,3,10,4,8,3
Acsl3,1,0,2,0,0,0
Utp14b,0,0,0,1,0,0
Ap1s3,0,0,1,0,1,2
Wdfy1,2,4,5,6,8,1
Mrpl44,2,2,6,4,1,6
Serpine2,0,4,5,8,10,5
9830004L10Rik,0,0,0,0,1,0
Fam124b,0,0,0,1,0,0
Cul3,6,9,19,18,22,9
Dock10,22,18,56,49,43,41
Nyap2,0,0,1,0,0,0
Rhbdd1,3,1,4,2,1,1
Col4a4,0,1,0,0,0,0
Mff,6,12,30,11,10,13
Agfg1,9,8,26,18,19,13
Pid1,0,0,3,2,2,0
Dner,0,0,2,0,0,0
Trip12,4,11,19,11,13,11
Fbxo36,0,0,0,0,0,1
C130026I21Rik,5,2,3,2,1,1
A530032D15Rik,1,0,0,0,0,0
A530040E14Rik,2,4,0,0,0,0
Sp110,15,9,33,33,18,29
Sp140,10,7,16,8,8,9
Sp100,32,25,61,35,47,71
A630001G21Rik,4,3,8,1,3,2
Cab39,9,9,32,18,14,14
Itm2c,7,13,43,37,22,19
Gm28884,1,0,0,0,0,0
Gpr55,1,2,5,1,1,1
Psmd1,3,3,12,6,5,15
Armc9,1,0,2,2,2,1
B3gnt7,1,0,0,1,0,0
Ncl,53,57,121,103,92,88
Ptma,223,290,591,372,351,268
Pde6d,2,2,10,6,4,5
Cops7b,0,0,4,3,0,2
Dis3l2,3,3,4,3,4,4
Ecel1,0,1,0,0,0,0
Eif4e2,5,10,22,16,13,16
Efhd1,0,1,3,0,0,0
Gigyf2,6,5,15,15,8,7
Kcnj13,0,0,2,0,0,1
Inpp5d,9,12,35,32,26,21
Atg16l1,3,0,8,4,4,8
Sag,1,1,0,2,0,0
Dgkd,0,4,8,4,6,3
Usp40,1,1,1,3,3,1
Hjurp,5,1,12,9,11,4
Arl4c,38,31,55,36,29,39
Agap1,0,0,5,3,1,0
Ackr3,0,0,1,0,0,0
Cops8,4,8,16,12,9,8
Mlph,0,0,6,2,2,2
Lrrfip1,15,22,52,28,25,18
Rbm44,0,0,0,0,0,1
Ramp1,1,6,2,7,11,8
Ube2f,5,6,11,8,8,8
Scly,3,3,8,5,3,3
Ilkap,13,11,27,8,10,13
Hes6,1,6,4,1,9,8
Per2,0,0,0,1,1,0
Traf3ip1,0,0,4,3,1,2
Asb1,1,1,4,2,2,1
Hdac4,1,3,7,6,6,12
Gm26720,1,0,0,0,2,0
Ndufa10,11,19,42,26,20,21
Myeov2,21,25,57,18,27,40
Otos,0,0,0,0,0,1
Gpc1,1,0,2,0,0,2
Dusp28,5,3,5,3,6,4
5033417F24Rik,0,0,1,0,0,0
Rnpepl1,6,3,16,6,12,12
