gene,timepoint,log2FC,p,padj
3930402G23Rik,24H,0.25981561484226123,0.7463733419631252,1.0
4430402I18Rik,24H,-0.03719917109583726,0.9317482326691344,1.0
44986,24H,0.1514295481349528,0.8503028472385904,1.0
44987,24H,0.24242692146401978,0.684174360197178,1.0
44988,24H,0.04528831336713157,0.7853090179092453,1.0
44989,24H,-0.004085964263232711,0.9806126299993437,1.0
44990,24H,0.020861193308888915,0.933175977024886,1.0
44991,24H,0.0705722581064574,0.8112435985336051,1.0
44992,24H,0.2713754823410799,0.6082715525839844,1.0
44993,24H,0.16884167516880666,0.8545005116116223,1.0
44994,24H,-0.11955593582836777,0.3851557339136759,1.0
44995,24H,0.04649603384046408,0.9278961103119255,1.0
44996,24H,0.03697850651739021,0.9190543891381027,1.0
45170,24H,0.013633200235990905,0.962593804186441,1.0
45171,24H,0.0310374524565038,0.9419234438420238,1.0
45172,24H,0.0451432416690043,0.7991297044144468,1.0
45173,24H,-0.43242522061239796,0.06916416973657605,1.0
45174,24H,-0.11563132366350537,0.2657553491025549,1.0
45175,24H,-0.0688377174114656,0.7730274179786506,1.0
45176,24H,0.1342068495940154,0.7674101060428823,1.0
45177,24H,0.00017118817832617594,0.9994777675020691,1.0
45178,24H,0.09744544445730874,0.6447852289606947,1.0
45179,24H,-0.3396304469903564,0.3743318217677515,1.0
45180,24H,0.09332518780880861,0.8178503267026218,1.0
45184,24H,-0.09689278792058431,0.5945287258798625,1.0
4632404H12Rik,24H,0.3196236993793615,0.35331277287872037,1.0
4632415L05Rik,24H,0.10393006699511531,0.7624037043192652,1.0
4632427E13Rik,24H,-0.18055175913838184,0.6971366885352795,1.0
4632428C04Rik,24H,-0.18765921189990342,0.7169958948440118,1.0
4632428N05Rik,24H,0.042540258910332085,0.8741227112849966,1.0
4632433K11Rik,24H,-0.2785256315630926,0.5448760215437769,1.0
4732414G09Rik,24H,0.1475984424586767,0.7656296553013926,1.0
4732419C18Rik,24H,0.3107797368224121,0.4369013243721419,1.0
4732440D04Rik,24H,0.09875326154501707,0.8307030170557358,1.0
4732463B04Rik,24H,0.14795163778535203,0.6709184386083344,1.0
4732471J01Rik,24H,0.09232914482566645,0.8056343328970008,1.0
4732491K20Rik,24H,0.04686461146034482,0.8134034711145797,1.0
4831440E17Rik,24H,-0.12296763262801846,0.722813040211375,1.0
4833412K13Rik,24H,0.5052075369749112,0.5280681105344593,1.0
4833413G10Rik,24H,-0.13726302970762383,0.8100922087441589,1.0
4833418N02Rik,24H,-0.022505139393980578,0.9297712572961344,1.0
4833420G17Rik,24H,0.17266468720307415,0.6836221936925748,1.0
4833422C13Rik,24H,-0.19236971605602626,0.47781238261208686,1.0
4833422M21Rik,24H,0.7692968654888963,0.5107617981542291,1.0
4833439L19Rik,24H,0.019985295339139952,0.8780125552724528,1.0
4833445I07Rik,24H,-0.060630225209870936,0.9040912688330777,1.0
4921504A21Rik,24H,0.22603324766367638,0.4352480940722086,1.0
4921507P07Rik,24H,0.4109175246069898,0.3133555566118411,1.0
4921513D11Rik,24H,0.4399130228777377,0.3447384857841368,1.0
4921524J17Rik,24H,0.20574447564541032,0.6746123559498685,1.0
4921531C22Rik,24H,0.10880286108172843,0.7722582148582825,1.0
4921536K21Rik,24H,0.8041627218645999,0.024382812090571127,1.0
4921539H07Rik,24H,0.33971577814044895,0.22315201618557756,1.0
4930402H24Rik,24H,0.030056764973462435,0.925642340265549,1.0
4930412C18Rik,24H,-0.5387175690743744,0.3963971740008289,1.0
4930415F15Rik,24H,0.322637314779044,0.5158224039538258,1.0
4930426D05Rik,24H,0.35281404869539523,0.7490037335688867,1.0
