gene,source,gene_tier,set_repr,n_datasets,consistency,n_sig,meta_Z,meta_p,mean_log2FC,GSE276942_log2FC,GSE215410_log2FC,GSE174412_log2FC,GSE276942_p,GSE215410_p,GSE174412_p
Cd80,gene-level,T1_meta&全一致,,3,1.0,0,-2.0162125246696685,0.0437777573074848,-0.3242435769527471,-0.5007652648806147,-0.2476130263109601,-0.2243524396666666,0.2689732762089487,0.1773350627315113,0.1245146012979961
Tyrobp,gene-level,T1_meta&全一致,A,3,1.0,0,-1.991693222251267,0.0464047278340178,-0.6095466550291685,-0.2374785478782826,-0.3437798318758895,-1.2473815853333334,0.2347648006326816,0.2980216206272982,0.1198188578553317
Cx3cl1,gene-level,T1_meta&全一致,A,3,1.0,0,-1.9906741137618424,0.0465167264002711,-0.7330664928237205,-0.4127517976063029,-0.1664297008648585,-1.62001798,0.0550265234317406,0.3978724744548808,0.8478798732665338
Megf10,gene-level,T1_meta&全一致,,3,1.0,0,-1.9877386830007135,0.046840598327008,-0.2371809676258417,-0.1894915140561117,-0.0875192441547465,-0.434532144666667,0.1266760977552377,0.7304228418330653,0.1590730706087887
Fabp5,gene-level,T1_meta&全一致,,3,1.0,1,-1.977362412550579,0.0480006794870891,-0.175992732020255,-0.2142748222544401,-0.2939571044729918,-0.019746269333333,0.1387215632711529,0.0333058064096438,0.9811184387749968
Junb,gene-level,T2_meta&多数一致,A,3,0.6666666666666666,1,3.767388178443995,0.0001649643918868,-0.0641765046481257,0.7780020593857984,-1.0407975806635088,0.0702660073333332,1.208351625177728e-06,0.2486306474843691,0.9480137321524084
Egr2,gene-level,T2_meta&多数一致,A,3,0.6666666666666666,1,3.2366550158983225,0.0012093952048322,0.2269352135943824,1.6468394887799631,-0.7913712426634829,-0.1746626053333329,2.624158420392908e-06,0.2279237239293164,0.3856469778017647
Arc,gene-level,T2_meta&多数一致,A,3,0.6666666666666666,1,3.0943005618160218,0.0019727752005775,-0.6970127603613742,1.150436484923203,-0.3800428516739922,-2.861431914333333,1.7603771189238084e-05,0.324511189772559,0.5800441720772668
Tlr2,gene-level,T2_meta&多数一致,B,3,0.6666666666666666,1,-3.002503285084855,0.002677690833762,-0.1897853156728379,-0.69202756489263,0.2621561245407828,-0.1394845066666667,0.0011519554219686,0.4881377583384765,0.2484318018088032
Irf8,gene-level,T2_meta&多数一致,B,3,0.6666666666666666,2,-2.9129697921830178,0.0035800923199348,-0.1099640500841807,-0.2620691966588691,-0.1736419039270065,0.1058189503333333,0.0027456453633095,0.0492290668541633,0.4809675065093883
