gene,n_datasets,meta_Z,meta_p,consistency,n_sig,mean_log2FC,GSE276942_log2FC,GSE215410_log2FC,GSE174412_log2FC,GSE276942_p,GSE215410_p,GSE174412_p,meta_padj
Slc15a4,3,-0.8583713199878157,0.39068745901014246,0.6666666666666666,0,-0.09457148333191305,-0.06558506994361046,0.10282842594787134,-0.320957806,0.39238504204996766,0.369506066015537,0.29149584127408884,0.9999814863457843
Cd6,3,-0.8582403085109873,0.3907597825122824,0.6666666666666666,0,-0.2674566436878805,-0.3981853972849345,-0.40771081911204043,0.003526285333333337,0.5806256469204543,0.21115013747631556,0.9451773275863246,0.9999814863457843
Gpc5,3,-0.8582388947587036,0.3907605630036528,0.6666666666666666,0,-0.3359863320644895,-0.10535773588588349,0.0987363453590806,-1.0013376056666656,0.490768409896565,0.7227087400510214,0.33830260804425216,0.9999814863457843
Gm20033,3,-0.8582384677891917,0.3907607987212438,1.0,0,-0.1680257926287058,-0.263307859757548,-0.2273998711285694,-0.013369646999999985,0.6096154263378099,0.3058251234628672,0.8389858992884257,0.9999814863457843
Cdk11b,3,-0.8580530762423534,0.3908631562247733,0.6666666666666666,0,-0.03973132436478307,-0.1979858289975045,-0.28405820743017784,0.36285006333333314,0.44753066058792756,0.2543706494560135,0.6818400664553773,0.9999814863457843
Gm36638,2,0.8580515772242322,0.39086398392193156,1.0,0,0.3250599385342349,,0.03642328273513667,0.6136965943333332,,0.7217172058731894,0.4139669801753619,0.9999814863457843
Rarg,3,-0.8579313097966552,0.39093039419869136,1.0,0,-0.16416099645155682,-0.12340822736415458,-0.18553082999051584,-0.18354393200000008,0.6325933183811847,0.7219500662214008,0.4146501065050631,0.9999814863457843
Rnls,3,-0.8579026783862963,0.39094620514085665,1.0,0,-0.18123556830588536,-0.12130145126926761,-0.24594503931505507,-0.1764602143333334,0.7484388779231235,0.3441097354209291,0.5083759132222727,0.9999814863457843
Tex38,2,-0.8578895189203879,0.3909534722395308,0.5,1,-0.02957966471696199,,-0.14771470910059065,0.08855537966666667,,0.019362209772794497,0.4226497308103743,0.9999814863457843
Ccdc32,3,-0.8578463376592727,0.3909773189572685,1.0,0,-0.31293637259519286,-0.07328163907825314,-0.0372511507073261,-0.8282763279999994,0.6157371251210443,0.8170387445503328,0.38561630812415665,0.9999814863457843
Gm4353,3,0.8577808639666304,0.3910134782864282,1.0,0,0.14808568875894892,0.0791097986862761,0.22101446159057048,0.14413280600000022,0.5836818692353954,0.4840006741555859,0.6973572563748619,0.9999814863457843
Msrb1,3,-0.8577496665183799,0.3910307084979501,0.6666666666666666,0,0.0667499160903257,-0.07146154393610615,-0.10168532245958328,0.3733966146666665,0.33299473554941256,0.4993888779615724,0.641419865176818,0.9999814863457843
Cyp2j13,2,-0.8576990899106052,0.3910586427124956,0.5,0,-0.019599615499999997,,0.0,-0.039199230999999994,,1.0,0.2681708296335562,0.9999814863457843
Wdr48,3,0.8573917419552964,0.3912284216268398,0.6666666666666666,1,0.7538525372808019,-0.023602433216629137,0.0056474883923716135,2.2795125566666634,0.8988897945164865,0.9229570066772753,0.02227100231508509,0.9999814863457843
Adat2,3,-0.8573712823781964,0.39123972507933225,0.6666666666666666,0,-0.24686610711703985,0.005634631158127235,-0.23791627850924746,-0.5083166739999994,0.9786274309585709,0.263744071805219,0.2137260901618142,0.9999814863457843
4632415L05Rik,3,-0.8573186594520377,0.39126879896382316,0.6666666666666666,0,-1.208333493542562,-0.13265782649119195,0.17134293886350616,-3.6636855930000003,0.532738681097678,0.3174243987823271,0.10572936732967246,0.9999814863457843
Zbtb34,3,-0.857234698449682,0.391315189683326,1.0,0,-0.11358634591275507,-0.09670494771191684,-0.08927068235968161,-0.15478340766666676,0.6770447217259907,0.6144696958681554,0.41135979156442204,0.9999814863457843
Armcx4,3,-0.8567529675349594,0.39158142354981584,1.0,0,-0.24380140541335393,-0.09813610664152606,-0.126230922931871,-0.5070371866666648,0.7321780892219351,0.4067781554036943,0.47841552715799374,0.9999814863457843
Lysmd2,3,-0.8566440149518354,0.39164165262818884,0.6666666666666666,1,-0.8669231881239071,-0.07724285838648726,0.07442898768143191,-2.597955693666666,0.6873826295831912,0.2700830879377211,0.03068383121037493,0.9999814863457843
Gm17146,3,0.856639787020654,0.39164398994536365,0.6666666666666666,0,0.2545295211002971,-0.004745011509483588,0.2801326501437081,0.48820092466666676,0.9902172894033981,0.1853969434903238,0.29715604118376326,0.9999814863457843
Srrd,3,-0.8566318664268687,0.3916483686912384,0.6666666666666666,0,0.0546031092465622,-0.10714322663864095,-0.09389670295500574,0.3648492573333333,0.13077488079018065,0.6612602862293967,0.16003178810322483,0.9999814863457843
Bysl,3,-0.8565006087098986,0.39172093628702753,1.0,0,-0.08927269587063298,-0.07211586680478632,-0.04435501214044635,-0.1513472086666663,0.503997322751308,0.6370884317770109,0.7476112959649533,0.9999814863457843
Gm43790,2,0.8564220388208464,0.39176437861144275,0.5,0,0.16328957330235747,,-0.09640314172861847,0.4229822883333334,,0.587401274165834,0.12146062573946784,0.9999814863457843
Pwp2,3,-0.8560872483690762,0.39194952141858164,1.0,0,-0.19332876067305213,-0.08328212857623463,-0.08641079710958799,-0.41029335633333375,0.5854077033362378,0.47575830114181705,0.7045804289302383,0.9999814863457843
Ptger3,3,-0.8560149450908552,0.39198951289641515,1.0,0,-0.12054627544082501,-0.3007577447337031,-0.012410878922104907,-0.04847020266666702,0.3573156475356403,0.9809044431273775,0.8720147870349703,0.9999814863457843
Gm15663,3,-0.8559689339984199,0.3920149632606421,0.6666666666666666,0,-0.12821992472670787,-0.22133235816657582,0.023701742986452334,-0.18702915900000017,0.3904427944083204,0.5517338682357867,0.42668839465496555,0.9999814863457843
Ccdc146,3,-0.8559542944708745,0.3920230611118327,0.6666666666666666,0,-0.049615675152110926,-0.31162750428049524,0.2988098224908291,-0.13602934366666664,0.6314231058119978,0.3756162572156832,0.06853963529441272,0.9999814863457843
Hist4h4,2,0.8558952904878914,0.3920557001797077,1.0,0,0.0865791202656253,,0.06841132453125057,0.10474691600000002,,0.6486625149914316,0.4635931633868727,0.9999814863457843
Prpf3,3,-0.8558555825543688,0.3920776662339006,0.6666666666666666,0,-0.2788511736951576,0.0013027100212372744,-0.15024391977337626,-0.6876123113333339,0.9969868480482451,0.5991191832399283,0.09392148822926213,0.9999814863457843
Rala,3,-0.8558428543665972,0.3920847075052871,0.6666666666666666,0,-0.8875814258438893,-0.16193877728540684,0.05849167975374048,-2.5592971800000015,0.40826446039888165,0.5319287329230462,0.3759926090289618,0.9999814863457843
Hook2,3,-0.8556180447702578,0.39220908548480116,1.0,0,-0.18696351880462267,-0.23330612149963947,-0.286566831247562,-0.04101760366666651,0.5658838853778991,0.3116829915208993,0.9404962799660596,0.9999814863457843
Gm5860,2,0.8556034351654735,0.39221716921118654,1.0,0,0.10792775941893458,,0.045243359837869146,0.170612159,,0.9126737804818597,0.31008825185110683,0.9999814863457843
Dgka,3,-0.8555313130085773,0.3922570770268671,1.0,0,-0.11136535592002812,-0.08664784858286367,-0.16231637051055348,-0.08513184866666723,0.7731384870559814,0.19431984620027568,0.6629864167118947,0.9999814863457843
Ybx1,3,-0.8555082263854897,0.3922698522163953,1.0,0,-0.7303412519732424,-0.055138864558253786,-0.30281101802814003,-1.8330738733333334,0.705720293909956,0.4096640893476869,0.5245734065388011,0.9999814863457843
Tnxb,3,-0.8553857377445309,0.3923376366229343,0.6666666666666666,0,-0.20145882968623818,-0.2137169514723265,-0.4094822969197214,0.01882275933333334,0.48751839461693597,0.16454876101511573,0.6277911159874151,0.9999814863457843
Gm43088,3,0.8553460737582178,0.3923595879338644,0.6666666666666666,0,0.10784965711956788,0.7278318939325374,0.04274139275949884,-0.44702431533333264,0.1766212698285658,0.8877094773888734,0.4048767543307837,0.9999814863457843
Ccdc160,3,-0.8553177764992546,0.39237524899172127,1.0,0,-0.1867896947233388,-0.05710001928759478,-0.018892953549088487,-0.48437611133333314,0.9236490946237493,0.9188482535788277,0.06992432116410023,0.9999814863457843
Gm29361,2,-0.8552163438198418,0.3924313898071956,1.0,0,-0.10518075064118865,,-0.11759154761571061,-0.09276995366666667,,0.594998762964846,0.5028419174467268,0.9999814863457843
Trappc5,3,0.8550885141542334,0.3925021477254492,0.6666666666666666,0,0.2905328614705593,0.0836569234402944,-0.21565083002861574,1.0035924909999991,0.3401302363540454,0.20514992149937405,0.2529031748087137,0.9999814863457843
Wnk2,3,-0.8550709447918018,0.39251187354919326,0.6666666666666666,0,-0.012410657518689305,-0.13393501915039785,-0.22831260873900394,0.3250156553333339,0.47439412603258807,0.3410325819827157,0.863409047413076,0.9999814863457843
Akt3,3,-0.8549948656024521,0.3925539901834547,0.6666666666666666,0,-1.5106142952408412,-0.08600450429880091,0.11619320190960636,-4.562031583333329,0.5884289522795634,0.4365819672799435,0.10891285067276707,0.9999814863457843
B3gntl1,3,-0.8549612507157625,0.3925725999017352,0.6666666666666666,0,-0.0744471282034147,-0.24076904944233135,-0.16170736016791265,0.1791350249999999,0.32022404302443075,0.5555935280755008,0.6482500653503858,0.9999814863457843
Cdc6,3,0.8548787153662432,0.3926182950094129,0.6666666666666666,0,0.19695136726523507,0.46411444574558214,0.19979253671678976,-0.07305288066666668,0.1988301941727158,0.24925980010815882,0.1281534277291334,0.9999814863457843
Prps2,3,-0.8546312248262494,0.39275533571136534,0.6666666666666666,0,-0.12771424850175647,-0.2727621886333953,0.07796749312812601,-0.1883480500000001,0.3008131364071069,0.6470496609115367,0.7539966646826161,0.9999814863457843
Aldh1b1,3,-0.8546091119889291,0.392767581463904,0.6666666666666666,0,-0.16720197656343305,-0.1615879963657907,-0.4792664529911752,0.13924851966666674,0.3888820157166744,0.31569631582994523,0.6033920613213924,0.9999814863457843
Ssrp1,3,-0.854500262008506,0.39282786429862293,1.0,0,-0.18563853538047,-0.12736051687033623,-0.0023661959377418995,-0.4271888933333319,0.5167968603495249,0.943249756708919,0.49306533526684154,0.9999814863457843
Gm2061,3,-0.854391904300051,0.39288788007469466,0.6666666666666666,0,-0.17119466269836092,-0.17935052139138818,0.05872499029630518,-0.39295845699999976,0.5336522764847601,0.6513389872262122,0.24357880436154117,0.9999814863457843
4933423P22Rik,2,0.8543833026203307,0.39289264450065287,1.0,0,0.058473868625975124,,0.10426534191861692,0.012682395333333332,,0.7122334896680929,0.42264973081037416,0.9999814863457843
Kdm1a,3,-0.8540393691244712,0.3930831761760033,1.0,0,-0.22078418006331813,-0.15239580248691276,-0.013889765036375401,-0.4960669726666662,0.4996418201604713,0.8702756984171484,0.5800003324999642,0.9999814863457843
Gm17767,3,-0.8539946793165187,0.39310793746668415,0.6666666666666666,0,-0.08395929403328743,-0.49956315777198634,0.24164869100545738,0.006036584666666664,0.1345513991221337,0.2821959059000035,0.8846491322517348,0.9999814863457843
Gm42460,2,-0.8538351294524338,0.39319634700081274,1.0,0,-0.10251232786252595,,-0.16578217739171858,-0.03924247833333333,,0.33189175154196404,0.7565296128341337,0.9999814863457843
5830432E09Rik,2,0.8536425158593098,0.3933030938069021,1.0,0,0.0428702126354565,,0.050346580937579655,0.03539384433333334,,0.8695290366952176,0.3330779900238921,0.9999814863457843
Nt5c3,3,-0.8532414701497842,0.39352541039476996,0.6666666666666666,0,-0.4924009630035086,-0.20591480511490978,0.1450595414377176,-1.4163476253333336,0.4587449778998303,0.46451174505292503,0.2522567267578701,0.9999814863457843
Pln,3,-0.8532388395043412,0.3935268689239225,0.6666666666666666,0,-0.06342912296427629,-0.5510637216362095,0.5683332684100473,-0.20755691566666662,0.5623291924422235,0.27413230050482085,0.07559617571246009,0.9999814863457843
Chrnb2,3,-0.8532141186860231,0.3935405752388542,0.6666666666666666,0,0.2076385512456027,-0.15752100923116963,-0.09605635136535629,0.876493014333334,0.3273036166351247,0.11665072298155421,0.21860357505831318,0.9999814863457843
Mcfd2,3,-0.8531611134885261,0.3935699646389368,0.6666666666666666,0,-0.19100753005721968,-0.07762391886260289,0.16445683435761005,-0.6598555056666662,0.5436587127820026,0.33480904849795406,0.10671762123614148,0.9999814863457843
Slc38a10,3,-0.8531479568665707,0.39357725969975954,1.0,0,-0.04288368499879406,-0.11846098434675234,-0.003890480649629602,-0.006299590000000244,0.32368911545651796,0.9773747564020344,0.9902548380704546,0.9999814863457843
A430105J06Rik,3,0.8530735604414644,0.39361851244059487,0.6666666666666666,0,0.20145676993996897,-0.11590166947928315,0.2705731636325234,0.4496988156666667,0.867805778688903,0.20051325989565416,0.16425854129735676,0.9999814863457843
Lrtm2,3,-0.852957396711644,0.3936829303443926,0.6666666666666666,0,0.73094235417462,-0.09803733726298525,-0.32189945421315436,2.6127638539999993,0.42646869274315374,0.05759569282972823,0.26422291427956807,0.9999814863457843
Ttc8,3,0.8529354361301648,0.3936951091713413,0.6666666666666666,0,0.3303470880423003,-0.03433026110986681,0.2077916419034347,0.817579883333333,0.9108558961793249,0.21334143958981128,0.1914691656265179,0.9999814863457843
Pcdha2,3,-0.8528072140564362,0.393766222701068,1.0,0,-0.143286835102882,-0.04830799863224744,-0.10326123034306534,-0.2782912763333333,0.6940455873009678,0.7644202875146858,0.3051805993463754,0.9999814863457843
A830009L08Rik,2,-0.8527612099093019,0.39379173905912035,1.0,0,-0.22504256638591438,,-0.3738540894384954,-0.07623104333333336,,0.34658868505793466,0.7395860403990249,0.9999814863457843
Rsad2,3,-0.852746950242837,0.3937996484352847,0.6666666666666666,0,-0.06041502103733659,-0.2253401284443166,0.2304441113323069,-0.18634904600000007,0.442585688455265,0.4771572422183751,0.2842353417431035,0.9999814863457843
CAAA01118383.1,2,-0.8527282002023797,0.39381004862316493,1.0,0,-0.14083243621773417,,-0.1874638004354683,-0.09420107200000002,,0.42502576343447607,0.6530554676625818,0.9999814863457843
Gm11906,2,0.8525687281748899,0.3938985105696149,1.0,0,0.10462079116430358,,0.009893511661940496,0.19934807066666665,,0.9540271406392982,0.292070587355871,0.9999814863457843
Serpina12,2,-0.8525247414779067,0.3939229128827084,1.0,0,-0.030513594301963702,,-0.035906060270594065,-0.025121128333333336,,0.7144251711534921,0.4226497308103741,0.9999814863457843
Mynn,3,0.8524536056783905,0.3939623785247327,1.0,0,0.11694361542334564,0.05333044252141139,0.181199621415292,0.11630078233333352,0.8431951755915384,0.14705815225915672,0.6224473688947462,0.9999814863457843
Gm43707,2,-0.8523633416890812,0.39401245979722477,0.5,0,-0.23239778065030295,,0.0005949073660602017,-0.4653904686666661,,0.9966627210553045,0.2696749243205843,0.9999814863457843
Gm44229,2,-0.8521209530770273,0.39414696361464063,1.0,0,-1.174268470901132,,-0.1363842518022606,-2.2121526900000035,,0.4920626017084068,0.5898011648214431,0.9999814863457843
A930017K11Rik,3,-0.8521109457283361,0.3941525173877928,0.6666666666666666,0,-0.12763355461000175,-0.5851350497636476,0.16165830393364233,0.040576082000000006,0.13010224321784916,0.46245929720768975,0.6427810311297437,0.9999814863457843
C330021F23Rik,2,-0.8520711742688046,0.394174589802331,0.5,1,-0.02934803813691475,,-0.07574880194049617,0.017052725666666668,,0.019844061059975278,0.42264973081037416,0.9999814863457843
Chek1,3,0.8520355971594529,0.3941943350649779,0.6666666666666666,0,0.07574717563502796,0.18257293709732814,-0.11471058719224425,0.15937917699999998,0.7140699251715124,0.7909438531405613,0.12337024387187318,0.9999814863457843
Gm13187,2,-0.8518149767712774,0.3943167925395701,0.5,0,-0.0891126579898503,,-0.21339575564636726,0.03517043966666667,,0.05958461658833736,0.6610437217058422,0.9999814863457843
Urb2,3,-0.8518009587178433,0.39432457417301325,1.0,0,-0.2244955110030725,-0.01966058005955773,-0.32409083994966004,-0.3297351129999997,0.901937927264493,0.346340930041603,0.28865138641770133,0.9999814863457843
Marcks,3,-0.8517980768638493,0.3943261739452596,0.6666666666666666,0,-1.2491735433559423,-0.13810111298840155,0.026421362920567404,-3.635840879999993,0.49134014607499854,0.7874602808964272,0.3820922451861381,0.9999814863457843
Apoc1,2,0.8516937879259481,0.3943840693708752,1.0,0,0.15723315530063964,0.3131324589403115,0.0013338516609677775,,0.3609346962828783,0.9973953972767778,,0.9999814863457843
Gm10530,2,0.8516539701283709,0.3944061753569923,0.5,0,0.46960111686755324,,-0.0373782579315603,0.9765804916666667,,0.7167819456782054,0.162812300543813,0.9999814863457843
Ankzf1,3,-0.8516347443887848,0.39441684934309984,0.6666666666666666,0,-0.17902675865562837,-0.19166633147251488,-0.3555646124943701,0.010150667999999863,0.6001760101248917,0.21038848035617894,0.9779097433822539,0.9999814863457843
Atcay,3,-0.8515775013728573,0.39444863127011975,0.6666666666666666,0,0.12909851564206973,-0.04700784905615052,-0.21415190068430157,0.6484552966666612,0.6125202273418869,0.16950935888488827,0.9282246815498266,0.9999814863457843
Grem1,3,0.8515672519364954,0.39445432202897657,0.6666666666666666,0,0.09810478358331483,-0.057720060919126404,0.19983644500240416,0.15219796666666674,0.7878258236685713,0.22834369384169484,0.09639797033161268,0.9999814863457843
Gm37733,2,0.851560512836574,0.3944580637830223,1.0,0,0.30932188403881566,,0.02852694441096436,0.590116823666667,,0.8300040311060323,0.35545454671886767,0.9999814863457843
Gm37345,3,0.8514763387045908,0.3945048016403412,1.0,0,0.35957312008800013,0.18039966938269414,0.10839594921463958,0.7899237416666667,0.779420614597702,0.6088143804849642,0.278007564655424,0.9999814863457843
Rab33a,3,-0.8513505661155579,0.39457464336746906,0.6666666666666666,0,0.20748699107075685,-0.19992164261414924,-0.253256247506914,1.0756388633333338,0.29277288731560547,0.16331639147279176,0.21391992823077693,0.9999814863457843
Rnf43,3,-0.8512694956078801,0.39461966591876496,0.6666666666666666,0,-0.22088577696395287,-0.48913227048914987,-0.21121374606937549,0.037688685666666694,0.20174506570239395,0.34047830417727387,0.1768328723028357,0.9999814863457843
Esrrg,3,-0.8512485312042453,0.39463130901757737,0.6666666666666666,0,-0.05382024240647665,-0.18591531155208152,0.0205352696659844,0.003919314666667173,0.2952010933872249,0.9304041535415434,0.9819599436113418,0.9999814863457843
Lhx6,3,-0.8511278611216178,0.3946983301652417,0.6666666666666666,0,-0.08946774084846099,-0.19108478469388857,0.0343574338151722,-0.11167587166666659,0.34832541703785486,0.8022079039722788,0.7360572287899437,0.9999814863457843
Zfp869,3,0.8510686698319688,0.39473120800658057,0.6666666666666666,0,1.3120660221589298,-0.021549344163414474,0.1806433273068695,3.7771040833333345,0.9511003554112709,0.38534459947975247,0.1326975310852434,0.9999814863457843
Rps3a1,3,-0.8510353613387601,0.39474970995962544,0.6666666666666666,0,-1.6574011198063827,-0.16049898751792568,0.009996594765445899,-4.821700966666668,0.3970687285916526,0.8674864467946621,0.6469953212018793,0.9999814863457843
Vegfa,3,-0.8505755029091681,0.3950052022880902,0.6666666666666666,0,-0.09036569552800566,-0.14640501847978094,0.10649085522909729,-0.23118292333333335,0.3952125370214667,0.5640021460780882,0.4326405179547936,0.9999814863457843
Vwf,3,0.8505565218662485,0.3950157500966264,0.6666666666666666,1,0.2726351684305719,-0.07365413873909432,0.5195089743641432,0.3720506696666668,0.8668745945536969,0.5641925642456401,0.049813043854138005,0.9999814863457843
Olfr1419,2,-0.8505284073392331,0.39503137371587593,1.0,0,-0.05864471663244682,,-0.0373782579315603,-0.07991117533333333,,0.7167819456782054,0.42264973081037416,0.9999814863457843
A2ml1,2,0.8505101935993644,0.39504149553450574,0.5,0,0.0051402699303177285,,-0.11088900313936456,0.12116954300000002,,0.7066382430962986,0.15992830935334587,0.9999814863457843
Racgap1,3,0.8504034391634371,0.39510082472609775,0.6666666666666666,0,0.08232001531460971,-0.020747220341573502,0.13519921161873594,0.1325080546666667,0.9331577613755957,0.12913643995020924,0.30839173364561806,0.9999814863457843
Alg8,3,0.850316961259824,0.3951488891052194,1.0,0,0.15373517105985068,0.018282399575118014,0.16370344293776729,0.27921967066666675,0.8987838216131138,0.32848948569130576,0.30762853788486433,0.9999814863457843
Suclg2,3,-0.8502392946636662,0.3951920591763348,0.6666666666666666,0,-0.06756100581265685,-0.2505536893991387,0.1155657936278347,-0.06769512166666658,0.2510251445745193,0.6077870144915667,0.9106333558096604,0.9999814863457843
2700046G09Rik,3,-0.8501597636413154,0.39523626852130445,0.6666666666666666,0,-0.07862447312746146,-0.38713973505230737,-0.25211724633007737,0.40338356200000036,0.3064216414800831,0.32289701646428987,0.3932653251918743,0.9999814863457843
Gm37931,2,0.8500972153766627,0.3952710396676945,1.0,0,0.33417086865089274,,0.037682895968451924,0.6306588413333336,,0.8665034633632313,0.33694625355135177,0.9999814863457843
Slc36a1,3,0.8499095904642795,0.39537535314573446,0.6666666666666666,0,0.7388163373272644,0.3293886382205464,-0.14284889990541938,2.029909273666666,0.5914590883985846,0.2340500595041678,0.052844375481910365,0.9999814863457843
Zrsr2,3,-0.8498936956062828,0.39538419094511146,0.6666666666666666,0,0.04281173851835499,-0.2936823318245647,-0.06454820728703581,0.4866657546666655,0.2891508200615011,0.6575380813929882,0.6264733613098142,0.9999814863457843
Cenpj,3,-0.8496998838566613,0.3954919630308664,0.6666666666666666,0,-0.13896785380936963,-0.36461727197764393,0.00048797454953519726,-0.05277426400000018,0.3850898145657887,0.9980424188213765,0.7830933816154563,0.9999814863457843
Lmbrd2,3,-0.8496404467815264,0.3955250175120324,0.6666666666666666,0,-1.8807854921378118,-0.07674533317982224,0.3024803067663955,-5.8680914500000085,0.5042454386952007,0.1451053767981952,0.060017440827266386,0.9999814863457843
Npl,3,-0.8495996527541159,0.3955477050824664,0.6666666666666666,0,-0.14350005431097979,-0.16396282594400624,-0.3210353596555997,0.05449802266666659,0.40279618106628545,0.48934053795732113,0.8219743124954848,0.9999814863457843
Zbtb8os,3,-0.8495814566790744,0.39555782507074677,0.6666666666666666,0,-0.13239760666287706,-0.2022930035585775,0.12817987623661287,-0.3230796926666666,0.2985016904194544,0.21878573085046385,0.3570865606471784,0.9999814863457843
Hspa8,3,0.8495665364654796,0.3955661232620036,0.6666666666666666,0,-2.643078890362904,0.14143135569165644,0.291398639886296,-8.362066666666664,0.334545226681785,0.0866275449901455,0.18456245536119675,0.9999814863457843
Gm26653,3,0.849521107275689,0.3955913903111117,1.0,0,0.2453394831072282,0.2001559520675671,0.437320743920784,0.09854175333333348,0.6932929931837486,0.18115914379812745,0.8665126006390111,0.9999814863457843
Wdr25,3,-0.8494936653760015,0.3956066535656969,0.6666666666666666,0,-0.06696381779072934,-0.08719112521482852,0.0073712031759738394,-0.12107153133333332,0.4444671951379015,0.9738522084308745,0.6059955476819601,0.9999814863457843
Pias3,3,-0.8494538904527662,0.39562877711104827,0.6666666666666666,0,-0.08798983271296955,-0.2840088776278744,-0.19116045551103422,0.211199835,0.26333276709967846,0.28921704874476833,0.2656773655624306,0.9999814863457843
Slc16a3,3,-0.8493189349885466,0.3957038473982548,0.6666666666666666,0,-0.17900296944285132,-0.2826984411004405,-0.30319113622811344,0.048880669,0.1454846957228579,0.4719839318805077,0.12427284247219883,0.9999814863457843
Zswim8,3,-0.8492553680490039,0.39573921010669955,1.0,0,-0.3288478549186766,-0.10698978556222194,-0.40966932686047564,-0.4698844523333321,0.5993581738144924,0.31089276688135975,0.8734352272179025,0.9999814863457843
Bcl7b,3,-0.8492150747187334,0.3957616265411351,1.0,0,-0.19367178075719474,-0.04067644280975102,-0.2736436081285003,-0.2666952913333329,0.6837110936386439,0.33494796638573127,0.6564630289008495,0.9999814863457843
Tbkbp1,3,-0.8491132629808694,0.39581827099919975,0.6666666666666666,0,-0.19608818163433206,-0.1527413780511644,-0.5022939168518317,0.06677074999999988,0.4562817068553563,0.3524394780612351,0.817977914114474,0.9999814863457843
Gm37773,3,-0.8491121945630206,0.3958188654551521,1.0,0,-0.3054882898718638,-0.12824786475378325,-0.09564869186180935,-0.6925683129999989,0.794277637465082,0.17628415020936022,0.6650580697623086,0.9999814863457843
Rheb,3,-0.8487937493907115,0.395996068884081,0.6666666666666666,0,-0.3339632468975289,-0.07638473501066301,0.07130639531807592,-0.9968114009999995,0.5399338800835217,0.7515945658068524,0.28837950208404334,0.9999814863457843
Ggt1,3,-0.8486540578156377,0.39607381740070013,1.0,0,-0.06601639162789534,-0.13479768781570733,-0.03663105473464534,-0.026620432333333333,0.6023195223449063,0.8667995889459397,0.39137121866052627,0.9999814863457843
Tmem248,3,-0.8486104145791395,0.39609810992431804,0.6666666666666666,0,0.10307774134686598,-0.08662292115847947,-0.08414347513425557,0.479999620333333,0.4836636065425705,0.10990313658372255,0.4935599827168467,0.9999814863457843
Egr3,3,0.8485370945435016,0.3961389230545015,0.6666666666666666,0,-0.13599922532489295,0.19273233837405357,-0.07440394734873301,-0.5263260669999994,0.1551687703776182,0.3939212323431791,0.8535910069719986,0.9999814863457843
Gpatch2l,3,-0.8482958667462681,0.39627321888920086,1.0,0,-0.2058205619877628,-0.02538643412592201,-0.012000507504032143,-0.5800747443333343,0.8583953646842498,0.8332149199387267,0.12489462129011213,0.9999814863457843
Hsd17b12,3,0.8480961962487753,0.396384399820761,0.6666666666666666,0,1.587369343804564,-0.006477651840381071,0.11691580725407302,4.651669876,0.9802020024435651,0.33550797765478246,0.17936580078743417,0.9999814863457843
Snw1,3,-0.8480494416317932,0.39641043654218544,0.6666666666666666,1,-2.1955704117885784,-0.11060347365642542,0.15950264829068495,-6.635610409999995,0.6204468079382244,0.24941716421174295,0.04694182086362753,0.9999814863457843
Gm38124,3,-0.8480467123198834,0.39641195647389615,1.0,0,-0.28487580431797155,-0.3294689614414912,-0.0981052981790902,-0.42705315333333327,0.6926303936995148,0.7812348417606169,0.3041028123832248,0.9999814863457843
Gm29155,3,-0.8479557030038924,0.39646264083978655,0.6666666666666666,0,-0.16604109231776562,-0.3913343797020554,0.128661694748758,-0.2354505919999994,0.13266923496818517,0.14923924027655383,0.9009081885054684,0.9999814863457843
Actr3b,3,-0.8477228064706144,0.396592362001577,0.6666666666666666,0,0.5431177159048906,-0.15215393817010536,0.01978120588477683,1.7617258800000002,0.18692438023076985,0.9347273740987604,0.545920876407179,0.9999814863457843
Six2,2,-0.8477049094020225,0.39660233155896407,1.0,0,-0.036534906661199615,,-0.060380908989065896,-0.012688904333333336,,0.7209645608989211,0.4221167797893871,0.9999814863457843
Mndal,3,-0.8475291255848655,0.3967002599268298,0.6666666666666666,1,0.012008046017154791,-0.24629473519029865,0.5311694539084297,-0.2488505806666667,0.590223943292755,0.20666008042968445,0.04702367961962969,0.9999814863457843
Vwce,3,-0.8474945933227619,0.3967194994082546,0.6666666666666666,1,-0.15161377879264923,-0.18590703129707897,-0.32412793374753535,0.05519362866666666,0.6560529434614444,0.02429998660896618,0.4900564602492022,0.9999814863457843
4632411P08Rik,2,-0.8474205408953827,0.39676075925543064,1.0,0,-0.16076797214501126,,-0.26715778329002254,-0.05437816099999998,,0.472467569244954,0.6118833366237217,0.9999814863457843
Slc25a25,3,0.8473959856468175,0.3967744412935611,0.6666666666666666,0,0.08779731078034085,0.09113877658269587,-0.110039492575007,0.2822926483333337,0.5719602178397937,0.6055322608524275,0.1865387619888755,0.9999814863457843
Gpr137b,3,-0.8473739395349333,0.396786725498238,0.6666666666666666,0,-0.03646876215294389,-0.20902080066047368,-0.057952495465024345,0.15756700966666637,0.2857943672058421,0.809054900551648,0.731128459303998,0.9999814863457843
Gas5,3,-0.8473619884831166,0.39679338478047654,0.6666666666666666,0,0.01653988341873684,-0.22229826284675802,-0.12763830123036346,0.399556214333332,0.32222625700034907,0.35050262204781607,0.45487277414668437,0.9999814863457843
Nobox,2,0.8472415495108884,0.3968604987138582,1.0,0,0.028586745465078403,,0.03447076559682347,0.022702725333333337,,0.7206681224660462,0.4226497308103741,0.9999814863457843
Il18rap,2,0.847241549510888,0.39686049871385853,1.0,0,0.034211493298411735,,0.03447076559682347,0.033952221,,0.7206681224660462,0.4226497308103743,0.9999814863457843
