set,n_members,mean_meta_Z,frac_down,t_p,wilcoxon_p,stouffer_p,n_meta_sig,BH_p
A_complement_synapse_pruning,145,-0.277,0.703,0.0019314316377785873,2.1705131476979192e-05,0.0008458200237274182,11,0.0019314316377785873
B_DAM_microglia,111,-0.893,0.829,4.718491293632834e-16,3.8274990722066596e-13,4.963637742384353e-21,18,9.436982587265667e-16
C_mitochondrial_OXPHOS,184,-0.512,0.804,9.163965491411455e-21,1.8787684891952945e-17,3.9248612669533036e-12,0,3.665586196564582e-20
D_myelin_oligodendrocyte,72,-1.471,0.903,1.0116917305473439e-14,5.533940856783865e-12,9.35031227384591e-36,22,1.3489223073964585e-14
