gene,cluster,max_membership
Ccdc66,2,1.0
Ccdc67,1,0.836
Ccdc78,3,0.947
Ccdc8,0,0.909
Ccdc82,2,0.906
Ccdc86,0,0.993
Ccdc88a,0,0.91
Ccnd1,0,1.0
Ccnh,0,0.934
Ccpg1,0,0.989
Cct8l1,4,0.8
Cd22,0,0.543
Cd248,0,0.963
Cd276,0,1.0
Cd36,4,0.873
Cd38,0,0.991
Cd4,1,0.588
Cd44,3,0.537
Cd82,0,0.937
Cdan1,0,0.998
Cdc42bpa,0,0.996
Cdh24,0,0.99
Cdhr2,2,0.838
Cdhr4,2,0.904
Cdk2ap1,0,1.0
Cdkn1a,0,0.996
Cdkn2b,0,0.407
Cdt1,0,0.388
Cela1,0,0.93
Cenph,3,0.707
Cenpj,2,0.991
Cenpl,2,0.881
Cenpo,0,0.885
Cenpq,2,0.908
Cenpu,2,0.581
Cep128,2,0.787
Cep295,0,0.511
Cercam,0,0.985
Cfap97,0,0.987
Cfdp1,0,0.999
Chek2,2,0.936
Chrdl1,0,0.872
Chrm5,2,0.903
Chrna1os,2,0.541
Chrna3,0,0.44
Chst7,0,0.935
Chst9,0,0.638
Ckap2l,4,0.735
Clec1a,2,0.62
Clec2d,0,0.585
Clec5a,2,0.766
Clmp,0,0.97
Clp1,0,0.999
Cmpk2,0,1.0
Cmtm8,0,0.742
Cmtr1,0,1.0
Cmtr2,2,0.885
Cnga4,0,0.461
Col11a2,0,1.0
Cops2,0,0.997
Cpt1a,0,1.0
Creb3l3,0,0.706
Crh,2,0.856
Crip2,0,0.954
Crip3,2,0.98
Crnde,2,0.398
Crtap,0,0.975
Crybb1,0,0.992
Crybg3,0,0.997
Cryzl1,0,1.0
Csde1,0,1.0
Csf2ra,0,0.988
Csf3r,0,0.993
Csgalnact1,0,0.947
Ctbs,0,0.976
Cth,2,0.976
Cubn,4,0.569
Cyb5r2,3,0.944
Cybb,3,0.35
Cyp20a1,0,0.999
Cyp27a1,0,0.804
Cyp27b1,2,0.436
Cyp2j9,0,1.0
Cyp4f16,0,0.84
Cyp4v3,0,0.998
Cyp4x1,0,0.984
Cysltr2,0,0.345
Cytl1,2,0.806
D130017N08Rik,0,1.0
D3Ertd751e,2,0.946
D630039A03Rik,3,0.934
D6Wsu163e,0,0.997
Dars2,0,1.0
Dbil5,3,0.924
Dcdc2a,0,0.822
Dclre1a,0,0.987
Dcst1,3,0.46
Ddc,0,0.783
Ddias,4,0.619
Ddo,0,0.992
Ddx19b,0,1.0
Ddx52,0,0.98
Decr1,0,1.0
Dennd1b,0,1.0
Dennd1c,2,0.889
Dennd2c,2,0.707
Dennd2d,3,0.627
Dennd4c,0,1.0
Dgat2l6,2,0.784
Dgke,0,0.998
Dhdh,0,0.997
Diap3,0,0.874
Dio2,0,0.997
Dkc1,0,0.815
Dlx5,2,0.777
Dlx6os1,0,0.997
Dmc1,2,0.658
Dmkn,4,0.937
Dmrt2,3,0.563
Dnaic1,0,0.962
Dnajc2,2,0.876
Dnajc8,0,1.0
Dnase2a,0,0.956
Dnmt3b,3,0.785
Dock11,2,0.981
Dph5,0,0.997
Dram2,0,0.858
Draxin,2,0.633
Drd2,2,0.591
Drp2,0,0.998
Dtwd2,0,0.891
Dusp1,0,0.983
Dusp5,0,0.997
E130311K13Rik,2,0.869
E130317F20Rik,0,0.863
E230001N04Rik,3,0.989
E230020A03Rik,3,0.491
E530011L22Rik,0,0.999
Ebf3,2,0.854
Ecel1,2,0.866
Ecm1,0,0.989
Eea1,0,0.92
Efcab7,2,0.604
Efhc2,0,0.851
Egf,2,0.739
Egr1,0,0.992
Egr2,0,0.679
Egr4,0,0.983
Eif2s1,0,0.991
Elf4,0,0.888
Ell2,0,0.999
Elmo3,0,0.68
Elp4,0,0.999
Enpep,0,0.94
Ep400,0,0.999
Eqtn,4,0.94
Erap1,0,0.91
Erbb2ip,0,0.999
Esrrb,0,0.903
Esrrg,0,1.0
Etfdh,0,1.0
Etohd2,2,0.816
Etohi1,2,0.863
Exo5,0,0.999
Exoc2,0,1.0
F13a1,2,0.824
Fa2h,0,0.984
Fabp7,0,0.995
Fam107a,0,1.0
Fam114a1,0,0.995
Fam122b,2,0.55
Fam129a,0,0.963
Fam131c,0,0.954
Fam136a,0,1.0
Fam175a,0,0.942
Fam179a,2,0.836
Fam181a,3,0.842
Fam198a,0,0.997
Fam208b,0,0.96
Fam214a,0,1.0
Fam217a,4,0.939
Fam57a,0,0.998
Fam69a,0,1.0
Fam71e1,0,0.861
Fam83h,0,0.465
Fancc,0,0.999
Fap,1,0.417
Far1,0,0.999
Fbln2,0,0.997
Fbxl12os,2,0.981
Fbxl13,3,0.581
Fbxo32,0,0.999
Fbxw10,3,0.99
Fcgr2b,0,0.92
Fdxacb1,0,0.772
Fech,0,1.0
Fermt1,0,0.51
Fgf16,0,0.922
Fgf17,3,0.839
Fgf18,0,0.579
Fhl4,1,0.942
Fktn,0,1.0
Fnbp1,0,0.996
Fndc9,3,0.996
Folh1,2,0.878
Fos,0,0.972
Fosb,0,0.992
Fosl2,0,0.999
Foxf1,2,0.545
Fpgs,0,0.994
Frk,3,0.918
Frmd4b,0,1.0
Fst,0,0.986
Fut8,0,1.0
Fv1,2,0.571
Fyb,2,0.518
Fyco1,0,0.922
Fyttd1,0,0.523
Gabra4,0,1.0
Gabrq,1,0.276
Gad1-ps,2,0.985
Gad2,0,0.999
Galnt4,0,0.999
Ganc,0,0.526
Gatb,0,1.0
Gbgt1,2,0.676
Gbp11,1,0.289
Gbp2,0,0.559
Gbp3,2,0.501
Gbp6,2,0.337
Gbp7,4,0.629
Gbp9,2,0.768
Gcfc2,2,0.924
Gcnt4,0,0.964
Gdpd2,2,0.946
Gem,0,0.959
Ggh,0,0.914
Ghsr,2,0.628
Gimap5,3,0.868
Gimap6,0,0.999
Gin1,0,0.537
Gjb6,0,0.999
Gk5,2,0.936
Gli2,0,0.973
Gm10033,2,0.838
Gm10083,3,0.973
Gm10125,2,0.598
Gm10311,4,0.981
Gm1043,0,0.909
Gm10645,2,0.384
Gm10822,4,0.86
Gm11128,4,0.418
Gm11398,0,0.413
Gm11638,4,0.896
Gm11837,2,0.693
Gm12207,4,0.987
Gm12260,1,0.806
Gm12522,2,0.543
Gm12758,2,0.888
Gm13054,1,0.432
Gm13110,2,0.643
Gm13293,2,0.533
Gm13558,3,0.919
Gm13629,2,0.939
Gm14288,2,0.917
Gm14305,2,0.821
Gm14391,0,0.648
Gm14403,2,0.971
Gm14419,2,0.913
Gm14421,2,0.97
Gm14634,0,0.745
Gm14957,0,0.622
Gm14964,2,0.943
Gm15246,3,0.885
Gm15344,2,0.847
Gm15462,4,0.936
Gm15559,0,0.536
Gm15672,2,0.65
Gm15879,0,0.581
Gm15998,2,0.568
Gm16049,4,0.868
Gm16118,1,0.558
Gm16299,4,0.765
Gm16334,2,0.653
Gm16339,0,0.775
Gm16379,0,0.92
Gm16386,1,0.766
Gm16576,2,0.901
Gm16638,2,0.982
Gm16675,0,0.425
Gm16793,1,0.964
Gm16794,2,0.636
Gm16835,2,0.953
Gm17024,2,0.806
Gm17244,0,0.618
Gm17324,3,0.719
Gm17382,2,0.533
Gm17396,0,0.819
Gm19265,1,0.995
Gm2004,2,0.999
Gm2007,1,0.545
Gm20186,2,0.756
Gm20387,0,0.974
Gm20449,2,0.639
Gm20457,2,0.981
Gm20458,0,0.548
Gm20503,0,0.609
Gm20515,2,0.819
Gm20604,0,0.994
Gm20743,2,0.952
Gm20754,0,0.82
Gm21092,0,0.996
Gm21781,0,0.954
Gm21967,0,0.995
Gm21975,2,0.406
Gm26512,2,0.996
Gm26529,3,0.969
Gm26532,0,0.882
Gm26621,4,0.981
Gm26644,0,0.939
Gm26645,2,0.486
Gm26671,3,0.972
Gm26703,2,0.777
Gm26778,0,0.876
Gm26782,0,0.961
Gm27030,0,0.711
Gm28424,2,0.909
Gm28873,2,0.648
Gm29483,2,0.833
Gm3248,2,0.597
Gm3252,1,0.428
Gm3650,2,0.733
Gm37008,3,0.676
Gm37078,3,0.659
Gm37240,2,0.551
Gm37285,2,0.789
Gm37292,2,0.453
Gm37296,2,0.448
Gm3739,4,0.993
Gm37584,2,0.58
Gm37785,1,0.593
Gm37827,4,0.717
Gm37885,0,0.994
Gm37914,4,0.786
Gm37960,4,0.482
Gm37968,3,0.791
Gm38192,2,0.497
Gm38250,2,0.746
Gm42463,0,0.689
Gm42528,0,0.992
Gm42636,1,0.969
Gm42644,0,0.943
Gm42659,4,0.954
Gm42783,4,0.625
Gm42851,3,0.474
Gm42858,0,0.748
Gm42902,2,0.828
Gm43081,4,0.834
Gm43328,4,0.902
Gm43337,2,0.666
Gm43477,2,0.899
Gm43536,1,0.656
Gm43604,1,0.852
Gm43636,1,0.901
Gm43690,1,0.984
Gm43800,4,0.426
Gm4491,3,0.485
Gm4793,2,0.658
Gm4944,2,0.974
Gm5814,2,0.978
Gm6483,0,0.907
Gm6939,2,0.685
Gm7094,2,0.912
Gm7120,0,0.939
Gm7598,3,0.956
Gm7967,2,0.734
Gm8995,2,0.915
Gm9754,2,0.753
Gm9776,2,0.532
Gm9828,0,0.785
Gm9866,0,1.0
Gm9870,3,0.602
Gm9903,3,0.882
Gm9924,3,0.919
Gm9925,2,0.917
Gm9996,2,0.94
Gnb3,0,0.342
Gngt2,0,0.829
Golga1,0,0.592
Gorab,0,0.859
Gpn1,0,1.0
Gpr101,2,0.979
Gpr151,0,0.45
Gpr156,0,0.71
Gpr34,0,1.0
Gpsm3,0,0.992
Grm8,2,0.969
Gse1,0,0.992
Gstm2,0,0.573
Gstm3,1,0.424
Gstm4,0,1.0
Gstt1,0,0.999
Gstz1,0,1.0
Gtpbp10,2,0.887
Gucy2c,1,0.315
Gys1,0,1.0
H2-DMb2,1,0.323
H2-Ob,0,0.737
H2-T24,2,0.67
H3f3a-ps1,3,0.553
Hapln1,0,0.93
Hax1,0,0.994
Hcar1,2,0.377
Hcrtr1,0,0.766
Heph,2,0.835
Hibch,0,0.978
Hist1h1c,0,0.976
Hist1h1e,1,0.937
Hist2h4,2,0.51
Hk1os,3,0.522
Hk2,0,0.991
Hlx,1,0.767
Hmgb1,0,0.956
Hmgcs1,0,1.0
Hmgcs2,2,0.615
Hnrnpa1l2-ps,2,0.621
Homer1,0,0.998
Hpn,0,0.845
Hpx,1,0.536
Hrsp12,0,0.961
Hspa5,0,0.998
Hspb3,0,0.323
Htr7,0,0.991
Htra4,0,0.501
Ica1,0,1.0
Icosl,0,0.999
Iffo1,0,1.0
Ifi203,2,0.974
Ifi204,4,0.868
Ifi27,0,0.998
Ifi27l2a,0,0.522
Ifih1,2,0.996
Ifit3,0,0.991
Ifitm7,0,0.467
Ift52,0,1.0
Igsf3,0,1.0
Iigp1,1,0.943
Ikbke,2,0.856
Il13ra1,2,0.933
Il17rc,0,0.955
Il18,2,0.797
Il1rapl1,0,0.736
Il2rg,0,0.624
Il33,0,0.996
Il4ra,2,0.642
Impg2,2,0.843
Inmt,0,0.89
Inpp4a,0,0.998
Ints10,0,0.997
Iqck,0,0.918
Irs2,0,0.999
Irx1,2,0.477
Isg20,3,0.426
Islr,0,1.0
Ispd,0,0.972
Itgax,3,0.695
Izumo4,0,0.999
Jakmip2,0,0.984
Junb,0,0.99
Kank4,0,0.982
Kansl1,0,1.0
Kcnh8,0,0.683
Kcnip4,0,0.999
Kcnk10,0,0.699
Kctd17,0,0.996
Kctd4,0,0.981
Kdm3a,0,0.996
Kdm6a,0,1.0
Khdrbs2,0,0.992
Kif16b,0,0.97
Kif20b,3,0.66
Kif4,0,0.675
Kiz,2,0.549
Klf8,2,0.771
Klhl20,0,0.989
Klhl33,0,0.771
Klhl4,0,1.0
Klk6,0,0.734
Krr1,0,0.817
Krt2,0,0.916
Krt28,4,0.443
Krtcap3,0,0.813
Lair1,0,0.993
Lama3,0,0.899
Lao1,3,0.363
Lars,0,0.995
Lats2,0,0.996
Lcmt2,0,0.99
Lcp2,0,0.743
Ldb3,0,0.743
Ldlrad3,0,1.0
Lgals1-ps2,4,0.931
Lgals8,0,0.902
Lgi1,0,1.0
Lgr5,2,0.891
Lgr6,0,0.988
Lhfpl3,0,0.989
Lhx6,0,1.0
Lif,0,0.733
Lime1,0,0.811
Lingo2,0,0.998
Lipg,0,0.891
Lipo1,2,0.982
Lmbr1l,0,0.999
Lmntd1,4,0.365
Lnp,0,0.839
Loxl3,0,0.988
Lpcat2,0,0.999
Lrp2,0,0.517
Lrrc4c,0,1.0
Lrrc55,0,0.994
Lrrc8d,0,0.686
Lrrc9,3,0.535
Lrrcc1,2,0.999
Lst1,0,0.678
Ltn1,0,0.999
Ltv1,0,0.909
Lurap1,0,1.0
Luzp1,0,0.982
Luzp2,0,1.0
Ly6g6d,0,0.388
Lyrm5,2,0.735
Lyrm7,0,0.999
Lysmd3,2,0.548
Mad2l1,0,0.971
Mafa,0,0.94
Maff,0,0.94
Maml2,0,1.0
Manea,0,0.973
Map10,0,0.635
Mapk12,0,0.818
Mast4,0,0.999
Mastl,3,0.629
Matr3,2,0.628
Mb21d1,2,0.774
Mbd4,0,0.88
Mcam,0,0.999
Mcidas,3,0.302
Mcm8,2,0.584
Mcts1,0,0.59
Mdm4-ps,1,0.919
Med4,0,1.0
Med6,0,0.923
Mef2c,0,0.973
Metap2,0,0.997
Mettl11b,2,0.974
Mettl18,0,0.895
Mettl24,2,0.609
Mettl4,0,0.848
Mettl9,0,1.0
Mical1,0,0.998
Mitd1,2,0.862
Mkln1os,2,0.999
Mlh3,0,0.999
Mlxipl,0,0.96
Mmp14,0,1.0
Mmp28,0,0.978
Mmrn2,0,0.994
Mnat1,0,0.865
Moap1,0,0.851
Morn1,0,0.608
Morn3,2,0.695
Mpg,0,0.922
Mpzl3,0,0.998
Mr1,0,0.912
Mre11a,2,0.718
Mri1,0,1.0
Mroh7,2,0.684
Mrpl32,0,0.994
Mrps10,0,0.999
Mtdh,0,0.737
Mterf2,2,0.994
Mtf2,0,0.769
Mtmr11,0,0.989
Mttp,0,0.934
Mtus1,0,1.0
Mustn1,2,0.645
Myo16,0,1.0
Naa15,0,0.962
Naglu,0,0.992
Nagpa,0,0.981
Naip2,2,0.735
Nat1,4,0.762
Nbr1,0,0.991
Ncam2,0,0.841
Ncapg2,2,0.98
Ncaph,3,0.518
Ndc1,0,1.0
Ndnf,0,0.976
Ndufaf4,0,0.532
Ndufb4,0,0.908
Neb,2,0.572
Nek7,0,0.722
Nfe2l2,0,1.0
Nfic,0,1.0
Ngfr,0,0.504
Nhlrc3,0,0.999
Nhlrc4,4,0.267
Nhs,2,0.981
Ninj2,0,0.881
Nkrf,0,1.0
Nle1,0,1.0
Nmb,0,0.841
Nmd3,0,0.998
Nod2,1,0.775
Nol11,0,1.0
Nos1,0,0.998
Notumos,1,0.739
Npb,0,0.608
Npepps,0,1.0
Npm1,0,1.0
Npr1,0,0.997
Nr3c1,0,0.983
Nr4a1,0,0.987
Nr6a1,0,0.986
Nrde2,0,0.997
Nrg1,0,0.799
Nrip2,0,1.0
Nsdhl,0,0.998
Nsmce4a,0,0.999
Nsun6,2,0.668
Ntmt1,0,0.977
Nubpl,2,0.859
Nup210l,3,0.44
Nup43,0,0.653
